school,applicant,gpa,gpa_normalized,applicant_school,is_chinese_undergrad,is_985,is_211,is_zhuanke,is_minban,is_heban,is_top_100_qs,fn
香港科技大学工程企业管理理学硕士,"中山大学, 材料物理, 两年工作经验，GPA3.5，雅思7.0",90.0,0.8145818042289584,中山大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"上海交通大学, 船舶与海洋工程, 已毕业，GPA2.97，雅思6.5",79.4,-0.8927760948972261,上海交通大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学工程管理学理学硕士,"福州大学, 工程管理, 大四，GPA83.75，托福:101(L:29/R:30/W:21/S:21)",83.75,-0.19211507025582075,福州大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"西安交通大学, 工业设计, 大四，GPA3.81，雅思8，GRE333",96.20000000000002,1.813225103717862,西安交通大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要",68.67,-2.6210732890126955,布里斯托大学,0,0,0,0,0,0,1,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.42，雅思6.5",88.4,0.5568674043608558,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港浸会大学绿色科技（能源）理学硕士,"太原科技大学, 环境工程, 大四，GPA86.35，雅思6.0",86.35,0.22667082952984643,太原科技大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"东北大学秦皇岛分校, 车辆工程, 已毕业，GPA2.77，雅思:6.5(L:6/R:7/W:6/S:6.5)",75.4,-1.5370620945674847,东北大学秦皇岛分校,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学电子及资讯工程学理学硕士,"上海大学, 电子信息工程, 三年工作经验，GPA84.9，雅思6",84.9,-0.006882845350620481,上海大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学机械与自动化工程理学硕士,"武汉理工大学, 轮机工程, 大四，GPA3.67，雅思6.5（6.0）",93.4,1.3622249039486791,武汉理工大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学电子商务与互联网计算理学硕士,"西南财经大学, 电子商务（支付结算方向）, 大四，GPA82，雅思6",82.0,-0.47399019511155893,西南财经大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学工程管理学理学硕士,"同济大学, 交通工程, 大四，GPA80.75，雅思6",80.75,-0.6753295700085148,同济大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学工程学（电气与电子工程）理学硕士 - 常规方向,"中山大学, 物理学, 大四，GPA83，雅思7.5",83.0,-0.31291869519399423,中山大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学环境健康与安全理学硕士,"北京大学, 环境科学, 已毕业，GPA77，雅思6.5",77.0,-1.2793476946993823,北京大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"扬州大学, 金融学, 大四，GPA83.93，雅思:6.5(L:6/R:6.5/W:6.5/S:7)，GRE:335",83.93,-0.16312220027065802,扬州大学,1,0,0,0,1,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（多媒体计算方向）,"西南大学, 计算机科学与技术, 已毕业，GPA3.49，雅思6.5",89.80000000000001,0.7823675042454473,西南大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"上海财经大学, 金融学, 已毕业，GPA2.87，雅思7.5，GMAT740",77.4,-1.2149190947323554,上海财经大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"西南大学, 经济学, 大四，GPA85，雅思:6.5(L:7/R:7/W:5.5/S:6)",85.0,0.00922430464113507,西南大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学生物医学工程理学硕士,"华南师范大学, 生物科学（师范）, 大四，GPA82.3，雅思6.5",82.3,-0.42566874513629,华南师范大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学计算机科学理学硕士,"西北工业大学, 信息安全, 三年以上工作经验，GPA81.46，托福85",81.46,-0.5609688050670448,西北工业大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（常规方向）,"同济大学, 软件工程, 大四，GPA89.01，雅思:6.5(L:7.0/R:7.0/W:6.5/S:6.0)",89.01,0.6551210193105702,同济大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"北京理工大学, 电气工程及其自动化, 已毕业，GPA75，雅思6.5",75.0,-1.6014906945345115,北京理工大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"南京农业大学, 电子科学与技术, 已毕业，GPA84.72，464",84.72,-0.035875715335783216,南京农业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学运输政策与规划文学硕士,"清华大学, 工业工程, 大四，GPA3.22，雅思6.5",84.4,-0.08741859530940281,清华大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学工程学（机械工程）理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.05，雅思:6.5(L:7/R:6.5/W:6/S:6)",81.0,-0.6350616950291236,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学电子商务与物流技术理学硕士,"长安大学, 交通运输, 大四，GPA89，雅思6.5",89.0,0.6535103043113937,长安大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（常规方向）,"浙江大学, 计算机科学与技术, 大四，GPA87.52，雅思:6.5(L:6.5/R:9.0/W:6.0/S:5.0) 托福:83(L:19/R:23/W:23/S:18)",87.52,0.4151244844333974,浙江大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学营养、食品科学和技术理学硕士,"华南农业大学, 园艺, 已毕业，GPA87.35，雅思6.5",87.35,0.3877423294474111,华南农业大学,1,0,0,0,1,0,0,香港_工科_applicants.csv
香港中文大学系统工程与工程管理理学硕士,"苏州大学, 物流管理, 大四，GPA90，雅思6.5",90.0,0.8145818042289584,苏州大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港中文大学电子商务与物流技术理学硕士,"暨南大学, 网络空间安全, 大四，GPA87.2，雅思6.5",87.2,0.3635816044597778,暨南大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学机械工程理学硕士,"北京理工大学, 机械工程, 已毕业，GPA79，雅思6",79.0,-0.9572046948642529,北京理工大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学工业工程与物流管理工学硕士,"中南大学, 消防工程, 已毕业，GPA84.35，雅思:6.5(L:7.0/R:6.0/W:6.0/S:6.0)",84.35,-0.09547217030528288,中南大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学电子商务与互联网计算理学硕士,"北京邮电大学, 电子商务及法律, 大四，GPA87，雅思7.5",87.0,0.3313673044762644,北京邮电大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港大学电气与电子工程工学硕士（常规方向）,"山东大学, 微电子科学与工程, 已毕业，GPA85.33，雅思6.5",85.33,0.062377899613931136,山东大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"吉林大学, 微电子科学与工程, 已毕业，GPA81.11，雅思6.5",81.11,-0.6173438300381916,吉林大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"东北林业大学, 工程管理（中外合作办学）, 已毕业，GPA83.33，雅思:7(L:8/R:7.5/W:5.5/S:6)",83.33,-0.2597651002211982,东北林业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"中国矿业大学（徐州）, 会计学, 两年工作经验，GPA3.6，雅思6.5",92.0,1.1367248040640876,中国矿业大学（徐州）,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学多媒体资讯科技理学硕士,"北京交通大学, 软件工程, 大四，GPA85.5，460",85.5,0.0897600545999174,北京交通大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学计算机科学理学硕士,"浙江大学, 计算机科学与技术, 大四，GPA87.52，雅思:6.5(L:6.5/R:9.0/W:6.0/S:5.0) 托福:83(L:19/R:23/W:23/S:18)",87.52,0.4151244844333974,浙江大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学地理信息科学与智慧城市理学硕士,"中南大学, 遥感科学与技术, 大四，GPA87.8，雅思7",87.8,0.46022450441031565,中南大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学工程学（土木工程）理学硕士 - 环境工程方向,"华中农业大学, 环境工程, 大四，GPA85.57，雅思6.5",85.57,0.10103505959414583,华中农业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学工程商业管理理学硕士,"西南政法大学, 英语, 一年工作经验，GPA3.98，雅思:7.0(L:7.0/R:7.5/W:6.5/S:6.0)",99.60000000000001,2.3608682034375805,西南政法大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港大学创新设计与技术工学硕士,"上海大学, 智能制造工程, 大四，GPA85.4，雅思:7(L:7.5/R:7/W:7/S:6)",85.4,0.07365290460816185,上海大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学创新设计与技术工学硕士,"北京林业大学, 电气工程及其自动化, 大四，GPA86.32， 6.0",86.32,0.22183868453231934,北京林业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学创新设计与技术工学硕士,"东北大学秦皇岛分校, 自动化, 两年工作经验，GPA3.92，托福83，GRE315",98.4,2.1675824035365023,东北大学秦皇岛分校,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学测绘及地理资讯学理学硕士（测量）,"华南农业大学, 测绘工程, 已毕业，GPA88.9，雅思6.0",88.9,0.6374031543196381,华南农业大学,1,0,0,0,1,0,0,香港_工科_applicants.csv
香港理工大学区块链科技理学硕士,"河海大学, 物联网工程, 一年工作经验，GPA81.48，雅思7.0",81.48,-0.5577473750686919,河海大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学生物医学工程理学硕士,"四川农业大学, 生物科学, 大四，GPA86.74，雅思6.5",86.74,0.28948871449769675,四川农业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学土木工程工学硕士（环境工程方向）,"中国地质大学, 环境科学与工程, 大四，GPA84.13，雅思:7.0(L:7.5/R:7.0/W:6.5/S:6.0)",84.13,-0.1309079002871469,中国地质大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学化学与能源工程理学硕士,"广东以色列理工学院, 化学工程与工艺, 已毕业，GPA81.8，雅思6.5",81.8,-0.5062044950950723,广东以色列理工学院,1,0,0,0,0,1,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"东南大学, 测控技术与仪器, 两年工作经验，GPA79，雅思:6.5(L:6/R:7/W:6/S:6)",79.0,-0.9572046948642529,东南大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学电子工程理学硕士,"上海交通大学, 测控技术与仪器, 大四，GPA79.44，雅思7",79.44,-0.8863332349005248,上海交通大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学信息工程理学硕士,"北京航空航天大学, 信息安全, 大四，GPA87.95，雅思6.5",87.95,0.48438522939795126,北京航空航天大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学电子工程理学硕士,"华中科技大学, 光电信息科学与工程, 已毕业，GPA76.1，家考托福101",76.1,-1.4243120446251913,华中科技大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学生物医学工程理学硕士,"苏州大学, 生物技术, 大四，GPA82，雅思7",82.0,-0.47399019511155893,苏州大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港理工大学土木工程学理学硕士,"北京工业大学, 土木工程, 大四，GPA88.66，雅思6/5.5",88.66,0.5987459943394212,北京工业大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
