en_name,ch_name,url,ranking,area
Master of Finance,麻省理工学院金融硕士,/majr_65569,QS排名：1,商科 金融
Master of Business Analytics,麻省理工学院商业分析硕士,/majr_65504,QS排名：1,商科 商业分析
Master of Science in Mechanical Engineering (SMME),麻省理工学院机械工程理学硕士,/majr_71808,QS排名：1,工科 机械工程
Master of Science in Materials Science and Engineering,麻省理工学院材料科学与工程理学硕士,/majr_71870,QS排名：1,工科 材料
MS in Chemical Engineering Practice,麻省理工学院化学工程实践理学硕士,/majr_71771,QS排名：1,工科 化工
MEng Civil and Environmental Engineering,麻省理工学院土木与环境工程工学硕士,/majr_71967,QS排名：1,工科 土木工程
MS Civil and Environmental Engineering,麻省理工学院土木与环境工程理学硕士,/majr_71968,QS排名：1,工科 土木工程
MS in Operations Research,麻省理工学院运筹学理学硕士,/majr_72113,QS排名：1,理科 数学
MPhil in Finance,剑桥大学金融哲学硕士,/majr_50005,QS排名：2,商科 金融
Master of Finance,剑桥大学金融硕士,/majr_50008,QS排名：2,商科 金融
MPhil in Machine Learning and Machine Intelligence,剑桥大学机器学习与机器智能哲学硕士,/majr_50014,QS排名：2,工科 计算机
MPhil in Advanced Computer Science,剑桥大学高级计算机科学哲学硕士,/majr_66832,QS排名：2,工科 计算机
MPhil in Technology Policy,剑桥大学技术政策哲学硕士,/majr_50007,QS排名：2,商科 经济
MPhil in Economic Research,剑桥大学经济学研究哲学硕士,/majr_50010,QS排名：2,商科 经济
MPhil in Finance and Economics,剑桥大学金融与经济学哲学硕士,/majr_50011,QS排名：2,商科 经济
MPhil in Economics,剑桥大学经济学哲学硕士,/majr_61319,QS排名：2,商科 经济
MPhil in Economic and Social History,剑桥大学经济社会史哲学硕士,/majr_66887,QS排名：2,商科 经济
MPhil in Land Economy Research,剑桥大学土地经济研究哲学硕士,/majr_66889,QS排名：2,商科 经济
"MPhil in Education (Arts, Creativity & Education)",剑桥大学教育哲学硕士(艺术、创新&教育),/majr_62013,QS排名：2,社科 教育
MPhil in Education (Critical Approaches to Children's Literature),剑桥大学教育哲学硕士(儿童文学的批判方法),/majr_62014,QS排名：2,社科 教育
MPhil in Education (Educational Leadership and Improvement),剑桥大学教育哲学硕士(教育领导力与改进),/majr_62015,QS排名：2,社科 教育
"MPhil in Education (Education, Globalisation and International Development)",剑桥大学教育哲学硕士(教育、全球化与国际发展),/majr_62017,QS排名：2,社科 教育
MPhil in Education (Psychology and Education),剑桥大学教育哲学硕士(心理学与教育),/majr_62018,QS排名：2,社科 教育
MPhil in Education (Research in Second Language Education),剑桥大学教育哲学硕士(第二语言教育研究),/majr_62019,QS排名：2,社科 教育
"MPhil in Education (Knowledge, Power and Politics)",剑桥大学教育学（知识、权力和政治）哲学硕士,/majr_66851,QS排名：2,社科 教育
"MPhil in Planning, Growth and Regeneration",剑桥大学规划、发展与再造哲学硕士,/majr_50003,QS排名：2,社科 建筑
MPhil in Micro and Nanotechnology Enterprise,剑桥大学微型与纳米技术企业哲学硕士,/majr_50015,QS排名：2,工科 材料
MPhil in History of Art and Architecture,剑桥大学艺术与建筑史哲学硕士,/majr_66858,QS排名：2,社科 建筑
"MPhil in Strategy, Marketing and Operations",剑桥大学战略、营销与运营哲学硕士,/majr_66875,QS排名：2,商科 市场营销
MPhil in Architecture and Urban Studies,剑桥大学建筑学和城市研究哲学硕士,/majr_66879,QS排名：2,社科 建筑
Master of Corporate Law (MCL),剑桥大学公司法硕士,/majr_50018,QS排名：2,社科 法律
Master of Law (LLM),剑桥大学法学硕士,/majr_50019,QS排名：2,社科 法律
Mphil Advanced Chemical Engineering,剑桥大学高级化学工程哲学硕士,/majr_61317,QS排名：2,工科 化工
MPhil in Criminological Research,剑桥大学犯罪学研究哲学硕士,/majr_66848,QS排名：2,社科 法律
MPhil in Criminology,剑桥大学犯罪学哲学硕士,/majr_66849,QS排名：2,社科 法律
MPhil in Sociology (Political and Economic Sociology),剑桥大学社会学（政治与经济社会学）哲学硕士,/majr_66871,QS排名：2,社科 社会学与社工
MPhil in Sociology (The Sociology of Marginality and Exclusion),剑桥大学社会学（边缘化与排斥社会学）哲学硕士,/majr_66872,QS排名：2,社科 社会学与社工
MPhil in Sociology (The Sociology of Media and Culture),剑桥大学社会学（媒体与文化社会学）哲学硕士,/majr_66873,QS排名：2,社科 社会学与社工
MPhil in Development Studies,剑桥大学发展研究哲学硕士,/majr_61320,QS排名：2,社科 国际关系
MPhil in Politics and International Studies,剑桥大学政治与国际研究哲学硕士,/majr_61321,QS排名：2,社科 国际关系
MPhil in African Studies,剑桥大学非洲研究哲学硕士,/majr_66833,QS排名：2,社科 国际关系
MPhil in Asian and Middle Eastern Studies (Chinese Studies),剑桥大学亚洲和中东研究（中国研究）哲学硕士,/majr_66838,QS排名：2,社科 国际关系
MPhil in Asian and Middle Eastern Studies (Japanese Studies),剑桥大学亚洲和中东研究（日本研究）哲学硕士,/majr_66842,QS排名：2,社科 国际关系
MPhil in Asian and Middle Eastern Studies (Korean Studies),剑桥大学亚洲和中东研究（韩国研究）哲学硕士,/majr_66843,QS排名：2,社科 国际关系
