en_name,ch_name,ranking,area,area_1,area_ranking,entrance_time,project_length,tuition,region
Master of Finance,麻省理工学院金融硕士,QS排名：1,商科 金融,金融,3,秋季,12或18个月,80718美元/年,US
Master of Business Analytics,麻省理工学院商业分析硕士,QS排名：1,商科 商业分析,商业分析,3,秋季,12个月,82368美元,US
Master of Science in Mechanical Engineering (SMME),麻省理工学院机械工程理学硕士,QS排名：1,工科 机械工程,机械工程,3,秋季,72units,55510美元/年,US
Master of Science in Materials Science and Engineering,麻省理工学院材料科学与工程理学硕士,QS排名：1,工科 材料,材料,3,秋季,1年,55510美元/年,US
MS in Chemical Engineering Practice,麻省理工学院化学工程实践理学硕士,QS排名：1,工科 化工,化工,3,秋季,1年,55510美元/年,US
MEng Civil and Environmental Engineering,麻省理工学院土木与环境工程工学硕士,QS排名：1,工科 土木工程,土木工程,3,秋季,90学分,55510美元/学年,US
MS Civil and Environmental Engineering,麻省理工学院土木与环境工程理学硕士,QS排名：1,工科 土木工程,土木工程,3,秋季,66学分,55510美元/学年,US
MS in Operations Research,麻省理工学院运筹学理学硕士,QS排名：1,理科 数学,数学,3,秋季,2年,27755美元/学期,US
Master of Science in Financial Mathematics,芝加哥大学金融数学硕士,QS排名：10,商科 金工金数,金工金数,3,秋季,5 quarters,84625美元,US
Masters Program in Computer Science,芝加哥大学计算机科学硕士,QS排名：10,工科 计算机,计算机,3,秋季,9门课,6154美元/课,US
MA Program in the Social Sciences - Economics,芝加哥大学社会科学硕士-经济学方向,QS排名：10,商科 经济,经济,3,秋季,1年,6700美元/课,US
MA in Computational Social Science,芝加哥大学计算社会科学硕士,QS排名：10,商科 经济,经济,3,秋季,2年,6700美元/课,US
Master of Laws,芝加哥大学法学硕士,QS排名：10,社科 法律,法律,3,秋季,9门课,68652美元,US
Master of Public Policy (MPP),芝加哥大学公共政策硕士,QS排名：10,社科 公共政策与事务,公共政策与事务,3,秋季,2年,23406美元/学期,US
MA in Public Policy with Certificate in Research Methods,芝加哥大学公共政策研究方法文学硕士,QS排名：10,社科 公共政策与事务,公共政策与事务,3,秋季,15个月,23406美元/学期,US
MS in Computational Analysis and Public Policy,芝加哥大学计算分析与公共政策理学硕士,QS排名：10,社科 公共政策与事务,公共政策与事务,3,秋季,2年,23406美元/学期,US
MS in Analytics,芝加哥大学分析学硕士,QS排名：10,理科 数据科学,数据科学,3,春季/秋季,4-5学期,4640美元/课,US
M.S. Degree in Statistics,芝加哥大学统计学硕士,QS排名：10,理科 数学,数学,3,秋季,1-2年,55146美元/年,US
Master of Public Health,芝加哥大学公共健康学硕士,QS排名：10,理科 数学,数学,3,秋季,15个月,6221美元/课,US
Master of Science in Precision Health,芝加哥大学精准医疗硕士,QS排名：10,理科 数学,数学,3,秋季,1年,6221美元/课,US
Master of Computer Science,莱斯大学计算机科学硕士,QS排名：100,工科 计算机,计算机,12,春季,3学期,41200美元/年,US
Master of Electrical & Computer Engineering,莱斯大学电气与计算机工程硕士,QS排名：100,工科 电气电子,电气电子,12,春季/秋季,3-4个学期,51500美元/年,US
M.S. in Mechanical Engineering,莱斯大学机械工程理学硕士,QS排名：100,工科 机械工程,机械工程,12,春季/秋季,2年,54100美元/年,US
Professional Master in Mechanical Engineering (M.M.E.),莱斯大学机械工程专业硕士,QS排名：100,工科 机械工程,机械工程,12,春季/秋季,30学分,54100美元/年,US
M.S. in  Materials Science and NanoEngineering,莱斯大学材料科学与纳米工程理学硕士,QS排名：100,工科 材料,材料,12,秋季/春季,2年,52070美元/年,US
Professional Master of Materials Science and Nanoengineering,莱斯大学材料科学与纳米工程专业理学硕士,QS排名：100,工科 材料,材料,12,秋季/春季,2年,51500美元/年,US
Master of Chemical Engineering,莱斯大学化学工程硕士,QS排名：100,工科 化工,化工,12,秋季,1年,54100美元/年,US
MBE IN Bioengineering,莱斯大学生物工程硕士,QS排名：100,工科 生物工程,生物工程,12,秋季,1年,51500美元/年,US
Master of Civil and Environmental Engineering,莱斯大学土木环境工程硕士,QS排名：100,工科 环境工程,环境工程,12,秋季/春季,30学分,52070美元/年,US
MS in civil and environmental engineering,莱斯大学土木环境工程理学硕士,QS排名：100,工科 环境工程,环境工程,12,秋季/春季,30学分,52070美元/年,US
Master of Data Science,莱斯大学数据科学硕士,QS排名：100,理科 数据科学,数据科学,12,秋季,31学分,2861美元/学分,US
Master of Statistics,莱斯大学统计学硕士,QS排名：100,理科 数学,数学,12,秋季,1.5年,52070美元/年,US
Master of Science in Business Analytics,加州大学戴维斯分校商业分析硕士,QS排名：102,商科 商业分析,商业分析,12,夏季,44学分,1339美元/学分,US
MS in Agricultural and Resource Economics,加州大学戴维斯分校农业与资源经济学硕士,QS排名：102,商科 经济,经济,12,秋季,32学分,66880美元/年,US
Master of Accounting,北卡罗来纳大学教堂山分校会计硕士,QS排名：102,商科 会计,会计,12,夏季,1年,52707美元,US
Masters of Professional Accountancy,加州大学戴维斯分校专业会计硕士,QS排名：102,商科 会计,会计,12,秋季,9个月,49824美元,US
MS in Electrical and Computer Engineering,加州大学戴维斯分校电气与计算机工程理学硕士,QS排名：102,工科 电气电子,电气电子,12,秋季,3学期,28710美元/年,US
MS in Mechanical and Aeronautical Engineering,加州大学戴维斯分校机械与航天工程理学硕士,QS排名：102,工科 机械工程,机械工程,12,秋季,1.5-2年,54234/美元年,US
MS in Materials Science and Engineering,加州大学戴维斯分校材料科学与工程理学硕士,QS排名：102,工科 材料,材料,12,秋季,2年,28710美元/年,US
MEng in Materials Science and Engineering,加州大学戴维斯分校材料科学与工程工学硕士,QS排名：102,工科 材料,材料,12,秋季,1年,28710美元/年,US
MS in Chemical Engineering,加州大学戴维斯分校化学工程理学硕士,QS排名：102,工科 化工,化工,12,秋季,2年,28710.04美元/年,US
Master of Science in Information Science (MSIS),北卡罗来纳大学教堂山分校信息科学硕士,QS排名：102,商科 信息系统,信息系统,12,春季/夏季/秋季,48学分,28844美元/学期,US
MS Civil and Environmental Engineering,加州大学戴维斯分校土木与环境工程理学硕士,QS排名：102,工科 土木工程,土木工程,12,秋季,27-34学分,54234美元/学年（包含学杂费）,US
MS in Biostatistics,北卡罗来纳大学教堂山分校生物统计硕士,QS排名：102,理科 数学,数学,12,秋季,2年,28844美元/学期,US
Master of Science in Statstics,加州大学戴维斯分校统计学硕士,QS排名：102,理科 数学,数学,12,秋季,44或48学分,28700美元/年,US
Master of Science in Biostatistics,加州大学戴维斯分校生物统计硕士,QS排名：102,理科 数学,数学,12,秋季,2年,26544美元/年,US
MS in Environmental Engineering,北卡罗来纳大学教堂山分校环境工程理学硕士,QS排名：102,工科 环境工程,环境工程,12,秋季/春季,1-2年,35580/年,US
MS in Mathematical Finance & Financial Technology,波士顿大学数学金融与金融科技硕士,QS排名：108,商科 金工金数,金工金数,12,秋季,39学分,85281美元,US
MS in Financial Management,波士顿大学金融管理硕士,QS排名：108,商科 金融,金融,12,春季/夏季/秋季,40学分,28427美元/学期,US
M.S. in Computer Science （general）,波士顿大学计算机科学硕士,QS排名：108,工科 计算机,计算机,12,秋季,32学分,28427美元/学期,US
Master Artificial Intelligence,波士顿大学人工智能硕士,QS排名：108,工科 计算机,计算机,12,秋季,32学分,28427美元/学期,US
Master of Science in Computer Science ,波士顿大学计算机科学硕士,QS排名：108,工科 计算机,计算机,12,春季/夏季/秋季,18-24个月,28427美元/学期,US
MS in Business Analytics (MSBA),波士顿大学商业分析硕士,QS排名：108,商科 商业分析,商业分析,12,夏季,3学期,79200美元,US
MS in Applied Business Analytics,波士顿大学应用商业分析硕士,QS排名：108,商科 商业分析,商业分析,12,春季/夏季/秋季,40学分,28427 美元/学期,US
MA in Economics,波士顿大学经济学硕士,QS排名：108,商科 经济,经济,12,春季/秋季,1年,28427美元/学期,US
MA Economic Policy,波士顿大学经济政策硕士,QS排名：108,商科 经济,经济,12,春季/秋季,3学期,28427美元/学期,US
MA in Global Development Economics,波士顿大学全球发展经济学硕士,QS排名：108,商科 经济,经济,12,秋季,3学期,28427美元/学期,US
MS in Electrical & Computer Engineering,波士顿大学电气与计算机工程理学硕士,QS排名：108,工科 电气电子,电气电子,12,秋季,32学分,58560美元/年,US
EdM in Teaching English to Speakers of Other Languages,波士顿大学对外英语教育学硕士,QS排名：108,社科 教育,教育,12,春季/秋季,1年,58560美元/学期,US
Master’s of Science (MS) in Mechanical Engineering,波士顿大学机械工程理学硕士,QS排名：108,工科 机械工程,机械工程,12,秋季/春季,1年,61050美元/年,US
MS in in Global Marketing Management,波士顿大学全球市场营销管理硕士,QS排名：108,商科 市场营销,市场营销,12,夏季/秋季,40学分,28427美元/学期,US
MS in Materials Science & Engineering,波士顿大学材料科学与工程理学硕士,QS排名：108,工科 材料,材料,12,秋季/春季,32学分,30525美元/学期,US
MENG in Materials Science & Engineering,波士顿大学材料科学与工程工学硕士,QS排名：108,工科 材料,材料,12,秋季/春季,1年,30525美元/学期,US
Master of Laws,波士顿大学法学硕士,QS排名：108,社科 法律,法律,12,秋季,2学期,57650美元,US
MS in Biomedical Engineering,波士顿大学生物医学工程理学硕士,QS排名：108,工科 生物工程,生物工程,12,秋季,1-2年,79978美元/年,US
MEng in Biomedical Engineering,波士顿大学生物医学工程工学硕士,QS排名：108,工科 生物工程,生物工程,12,秋季,1年,79978美元/年,US
Master of Science in Management Studies,波士顿大学管理研究硕士,QS排名：108,商科 管理,管理,12,秋季,9个月,56854美元,US
MA in Emerging Media Studies,波士顿大学新兴媒体研究硕士,QS排名：108,社科 传播,传播,12,秋季,10个月,29280美元/学期,US
MS in Media Ventures,波士顿大学媒体风险投资硕士,QS排名：108,社科 传播,传播,12,秋季,3 学期,87840美元,US
MS in Public Relations,波士顿大学公共关系学硕士,QS排名：108,社科 传播,传播,12,秋季,48学分,29280美元/学期,US
Master of Science in Statistical Practice,波士顿大学统计实践硕士,QS排名：108,理科 数学,数学,12,秋季,2学期,29280美元/学期,US
MA in Statistics,波士顿大学统计学硕士,QS排名：108,理科 数学,数学,12,秋季,1年,56854美元/年,US
MS in Applied Data Analytics,波士顿大学应用数据分析硕士,QS排名：108,理科 数据科学,数学,12,秋季,1年,56854美元/年,US
MS IN BIOSTATISTICS,波士顿大学生物统计学理学硕士,QS排名：108,理科 数学,数学,12,秋季,3学期,29280美元/学期,US
MS IN APPLIED BIOSTATISTICS,波士顿大学应用生物统计学理学硕士,QS排名：108,理科 数学,数学,12,秋季,2学期,29280美元/学期,US
Master of Accounting and Finance,阿德莱德大学会计与金融硕士,QS排名：109,商科 金融,金融,8,2/7月,2年,49000澳元/年,Australia
Master of Applied Finance,阿德莱德大学应用金融学硕士,QS排名：109,商科 金融,金融,8,2/7月,1.5年,49000澳元/年,Australia
Master of Finance,阿德莱德大学金融学硕士,QS排名：109,商科 金融,金融,8,2/7月,2年,49000澳元/年,Australia
Master of Computer Science,阿德莱德大学计算机科学硕士,QS排名：109,工科 计算机,计算机,7,2/7月,2年,48000澳元/年,Australia
Master of Computing and Innovation,阿德莱德大学计算与创新硕士,QS排名：109,工科 计算机,计算机,7,2/7月,2年,48000澳元/年,Australia
Master of Software Engineering,阿德莱德大学软件工程硕士,QS排名：109,工科 计算机,计算机,7,2/7月,2年,48000澳元/年,Australia
Master of Cyber Security,阿德莱德大学网络安全硕士,QS排名：109,工科 计算机,计算机,7,1/5/9月,2年,48500澳元/年,Australia
Master of Artificial Intelligence and Machine Learning,阿德莱德大学人工智能与机器学习硕士,QS排名：109,工科 计算机,计算机,7,1/5/9月,2年,48500澳元/年,Australia
Master of Business Analytics,阿德莱德大学商业分析硕士,QS排名：109,商科 商业分析,商业分析,7,2/7月,2年,49000澳元/年,Australia
Master of Advanced Economics,阿德莱德大学高级经济学硕士,QS排名：109,商科 经济,经济,8,2月,1.5年,47500澳元/年,Australia
Master of Applied Economics,阿德莱德大学应用经济学硕士,QS排名：109,商科 经济,经济,8,2/7月,2年,47500澳元/年,Australia
Master of Finance and Business Economics,阿德莱德大学金融与商业经济学硕士,QS排名：109,商科 经济,经济,8,2/7月,2年,49000澳元/年,Australia
Master of Engineering (Electrical),阿德莱德大学工程学硕士（电气）,QS排名：109,工科 电气电子,电气电子,7,2/7月,2年,48500澳元/年,Australia
Master of Engineering (Electronic),阿德莱德大学工程学硕士（电子）,QS排名：109,工科 电气电子,电气电子,7,2/7月,2年,48500澳元/年,Australia
Master of Accounting,阿德莱德大学会计学硕士,QS排名：109,商科 会计,会计,8,7/3/11月,2年,49000澳元/年,Australia
Master of Professional Accounting,阿德莱德大学专业会计硕士,QS排名：109,商科 会计,会计,8,3/7/11月,1.5年,49000澳元/年,Australia
Master of Engineering (Mechanical),阿德莱德大学工程学硕士（机械）,QS排名：109,工科 机械工程,机械工程,6,2/7月,2年,48500澳元/年,Australia
Master of Engineering (Mechatronic),阿德莱德大学工程学硕士（机电一体化）,QS排名：109,工科 机械工程,机械工程,6,2/7月,2年,48500澳元/年,Australia
Master of Education,阿德莱德大学教育学硕士,QS排名：109,社科 教育,教育,8,2/7月,2年,38500澳元/年,Australia
Master of Teaching (Middle and Secondary),阿德莱德大学教学硕士（中等教育）,QS排名：109,社科 教育,教育,8,2/7月,2年,42000澳元/年,Australia
Master of Architecture by coursework,阿德莱德大学建筑学硕士,QS排名：109,社科 建筑,建筑,8,2/7月,2年,43000澳元/年,Australia
Master of Landscape Architecture,阿德莱德大学景观建筑学硕士,QS排名：109,社科 建筑,建筑,8,2/7月,2年,43000澳元/年,Australia
Master of Marketing,阿德莱德大学市场营销硕士,QS排名：109,商科 市场营销,市场营销,8,1/5/9月,2年,49000澳元/年,Australia
Master of Planning (Urban Design),阿德莱德大学规划学（城市设计）硕士,QS排名：109,社科 建筑,建筑,8,2/7月,2年,43000澳元/年,Australia
Master of Materials Engineering,阿德莱德大学材料工程硕士,QS排名：109,工科 材料,材料,41,2/7月,2年,48500澳元/年,Australia
Master of Engineering (Chemical),阿德莱德大学工程学硕士（化学）,QS排名：109,工科 化工,化工,4,2/7月,2年,48500澳元/年,Australia
