en_name,ch_name,url,ranking,area,tofel,ielts,gmat,gre,tofel_sub,ielts_sub,gmat_sub,gre_sub,curriculum,area_1,area_ranking,entrance_time,project_length,tuition,region
Master of Finance,麻省理工学院金融硕士,/majr_65569,QS排名：1,商科 金融,/,/,/,/,/,/,/,/,,金融,3,秋季,12或18个月,80718美元/年,US
Master of Business Analytics,麻省理工学院商业分析硕士,/majr_65504,QS排名：1,商科 商业分析,/,/,/,/,/,/,/,/,,商业分析,3,秋季,12个月,82368美元,US
Master of Science in Mechanical Engineering (SMME),麻省理工学院机械工程理学硕士,/majr_71808,QS排名：1,工科 机械工程,100,7,/,/,/,/,/,/,,机械工程,3,秋季,72units,55510美元/年,US
Master of Science in Materials Science and Engineering,麻省理工学院材料科学与工程理学硕士,/majr_71870,QS排名：1,工科 材料,100,7,/,/,/,/,/,/,,材料,3,秋季,1年,55510美元/年,US
MS in Chemical Engineering Practice,麻省理工学院化学工程实践理学硕士,/majr_71771,QS排名：1,工科 化工,100,7,/,/,/,/,/,/,,化工,3,秋季,1年,55510美元/年,US
MEng Civil and Environmental Engineering,麻省理工学院土木与环境工程工学硕士,/majr_71967,QS排名：1,工科 土木工程,100,7.5,/,/,/,/,/,/,,土木工程,3,秋季,90学分,55510美元/学年,US
MS Civil and Environmental Engineering,麻省理工学院土木与环境工程理学硕士,/majr_71968,QS排名：1,工科 土木工程,100,7.5,/,/,/,/,/,/,,土木工程,3,秋季,66学分,55510美元/学年,US
MS in Operations Research,麻省理工学院运筹学理学硕士,/majr_72113,QS排名：1,理科 数学,100,7,/,/,/,/,/,/,,数学,3,秋季,2年,27755美元/学期,US
MPhil in Finance,剑桥大学金融哲学硕士,/majr_50005,QS排名：2,商科 金融,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"金融方向, 资产定价1&2, 公司金融1&2, 竞争性市场概论, 计量经济学1, 计量经济学方法, 横截面和面板数据计量经济学, 计量经济学2, 高级时间序列在金融和宏观经济学中的应用, 精算统计, 高级金融模型, 连续时间金融, 策略价值评估：系统设计中的不确定性和实物期权, 金融工程方向, 高级金融模型, 资产定价1&2, 公司金融1&2, 计量经济学方法, 竞争性市场概论, 计量经济学方法, 横截面和面板数据计量经济学",金融,3,9月,1年,39708英镑/年,Britain
Master of Finance,剑桥大学金融硕士,/majr_50008,QS排名：2,商科 金融,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"衍生产品概论, 计量经济学, 金融经济基础, 金融机构与市场, 财务报告与分析, 信用管理基础, 金融原则, 高级公司金融, 固定收益分析, 衍生产品深度解读, 兼并与收购, 私募股权, 投资管理热点议题, 高级信用管理, 高级衍生产品",金融,3,9月,1年,51000英镑/年,Britain
MPhil in Machine Learning and Machine Intelligence,剑桥大学机器学习与机器智能哲学硕士,/majr_50014,QS排名：2,工科 计算机,100,7,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:6.5 | W:7 | S:7 ,,,"机器学习概论, 深度学习与结构化数据, 概率机器学习, 语音识别, 计算机视觉, 自然语言处理, 高级机器学习, 强化学习与决策制定, 神经网络机器翻译与对话系统, 设计智能交互系统, 语音处理与生成",计算机,1,10月,1年,39708英镑/年,Britain
MPhil in Advanced Computer Science,剑桥大学高级计算机科学哲学硕士,/majr_66832,QS排名：2,工科 计算机,107,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"高级图形和图像处理, 计算机体系结构高级专题, 移动系统和移动数据机器学习高级主题, 代数路径问题, 自动推理, 范畴论, 计算机安全：原理和基础, 数据科学：原理与实践, 数字信号处理, 交互式形式验证, 自然语言句法分析概论, 高级操作系统, 计算机系统高级专题, 情感计算, 计算机视觉",计算机,1,10月,1年,39708英镑/年,Britain
MPhil in Technology Policy,剑桥大学技术政策哲学硕士,/majr_50007,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"微观经济学概论, 科技政策：概念与框架, 科技政策经济学基础, 科技政策：案例研究与模拟, 新兴市场下的商业、政策与技术, 政策设计与评估, 欧盟解析：企业与政府关系, 策略价值评估：系统设计中的不确定性和实物期权, 谈判技能, 电力与环境, 信息系统, 创业型科学和创新政策, 科技管理, 科技政策政治经济学, 创新过程管理",经济,3,9月,1年,34989英镑/年,Britain
MPhil in Economic Research,剑桥大学经济学研究哲学硕士,/majr_50010,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"微观经济学, 高级宏观经济学, 高级计量经济学方法, 微观经济学 II, 高级宏观经济学 II, 计量经济学 II：时间序列, 计量经济学 II：横截面与面板数据, 行为经济学, 网络经济学, 产业组织, 劳动经济学, 发展经济学, 宏观经济学历史专题, 英国工业化, 公司金融",经济,3,9月,1年,35517英镑/年,Britain
MPhil in Finance and Economics,剑桥大学金融与经济学哲学硕士,/majr_50011,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"金融学 I, 金融学 II, 公司金融, 资产定价, 微观经济学, 计量经济方法, 实证金融, 国际金融, 行为金融学, 创新经济中的风险投资, 应用资产管理专题, 宏观经济学, 公共经济学, 行为经济学, 网络经济学",经济,3,9月,1年,35517英镑/年,Britain
