school,applicant
南洋理工大学金融科技理学硕士（数字金融服务）,"北京大学, 金融学, 已毕业，GPA3.5，托福99"
南洋理工大学管理经济学理学硕士（英文授课）,"上海交通大学, 经济学, 已毕业，GPA86，雅思7"
南洋理工大学应用经济学理学硕士,"对外经济贸易大学, 金融, 大四，GPA88.5，雅思7.5"
南洋理工大学应用经济学理学硕士,"中国人民大学, 金融学, 大四，GPA86，雅思7，无"
新加坡国立大学战略分析与创新理学硕士,"悉尼大学, commerce, 大四，GPA70，无"
新加坡国立大学定量金融理学硕士（新加坡国立大学-上海交通大学合办）,"西南财经大学, 金融学（金融与人工智能实验班）, 大四，GPA86，雅思:7.5(L:8/R:8.5/W:7/S:5.5)，GMAT:680"
新加坡国立大学人力资本管理与分析理学硕士,"中国人民大学, 人力资源管理, 大四，GPA86.64，雅思7，GRE320"
新加坡国立大学会计学理学硕士,"西交利物浦大学, 会计学, 大四，GPA75，雅思7（6）"
新加坡国立大学可持续与绿色金融理学硕士,"香港中文大学（深圳）, 统计学, 大四，GPA3.41，雅思7"
新加坡国立大学会计学理学硕士,"深圳大学, 会计学, 大四，GPA88.5，雅思:7.5(L:8.5/R:8.5/W:6.5/S:6.5)，GRE:325"
新加坡国立大学定量金融理学硕士,"北京大学, 金融学, 已毕业，GPA3.5，托福99"
新加坡国立大学定量金融理学硕士,"中央财经大学, 数学与应用数学, 已毕业，GPA85，雅思:6.5(L:6/R:8.5/W:6/S:5)"
新加坡国立大学定量金融理学硕士,"对外经济贸易大学, 金融工程, 大四，GPA89.18，雅思6.5"
新加坡国立大学市场营销分析与洞察理学硕士,"同济大学, 市场营销, 大四，GPA91.4，雅思:7.5(L:8.5/R:9/W:6.5/S:6)"
新加坡国立大学市场营销分析与洞察理学硕士,"温州肯恩大学, 市场营销, 大四，GPA3.93，雅思7.5"
新加坡国立大学定量金融理学硕士,"对外经济贸易大学, 精算学, 大四，GPA86.24，雅思7.5"
新加坡国立大学定量金融理学硕士,"南京大学, 统计学, 已毕业，GPA4.19，雅思7.0"
新加坡国立大学定量金融,"南京大学, 金融工程, 大四，GPA88，雅思:6.5(L:5.5/R:7.0/W:6.5/S:6.0) 托福:，GRE: GMAT:600"
新加坡国立大学企业商业分析科技硕士,"华南理工大学, 数学与应用数学（统计学）, 大四，GPA83.3，雅思7，GRE316"
新加坡国立大学企业商业分析科技硕士,"澳门科技大学, 商业分析, 已毕业，GPA3.6，雅思7"
新加坡国立大学企业商业分析科技硕士,"华东师范大学, 信息管理与信息系统, 已毕业，GPA84.14，雅思7（6），GMAT700"
南洋理工大学管理经济学理学硕士（英文授课）,"北京航空航天大学, 经济统计学, 大四，GPA87.76，雅思7.0"
新加坡国立大学金融工程,"吉林大学, 金融数学, 大四，GPA3.8，雅思7.0"
新加坡国立大学金融工程,"多伦多大学, 数学统计, 大四，GPA3.84，免，GRE333"
南洋理工大学管理经济学理学硕士（英文授课）,"清华大学, 工业工程, 大四，GPA3.23，TOEFL: 106"
新加坡国立大学金融工程,"香港城市大学, 商业分析+金融, 大四，GPA3.89，雅思7"
南洋理工大学管理经济学理学硕士（英文授课）,"上海交通大学, 金融学, 已毕业，GPA83，托福105，GRE323"
南洋理工大学管理经济学理学硕士（英文授课）,"中国农业大学, 金融学, 大四，GPA87.2，雅思:7(L:6.5/R:7.5/W:6.5/S:6.5)"
南洋理工大学管理经济学理学硕士（英文授课）,"西南财经大学, 金融, 大四，GPA3.8，雅思7"
南洋理工大学管理经济学理学硕士（英文授课）,"吉林大学, 经济学, 大四，GPA89.1，雅思6.5"
南洋理工大学科技创业与创新理学硕士（中文授课）,"华中科技大学, 法学, 三年以上工作经验，GPA79.25，无"
南洋理工大学科技创业与创新理学硕士（中文授课）,"清华大学, 材料科学与工程, 两年工作经验，GPA2.53，无"
新加坡国立大学风险企业创业理学硕士,"华南师范大学, 传播学, 大四，GPA3.46，雅思6.5"
新加坡国立大学风险企业创业理学硕士,"上海大学, 信息管理与信息系统, 大四，GPA87.5，雅思7"
南洋理工大学金融学理学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA88.6，雅思:7.5(L:8.0/R:8.5/W:6.5/S:6.5)，GMAT:720"
新加坡国立大学工商管理学硕士,"UCI, Business Econ, 三年工作经验，GPA3.3，/，GRE332"
新加坡管理大学财富管理,"南京理工大学, 软件工程, 三年以上工作经验，GPA78，雅思7"
新加坡国立大学供应链管理理学硕士,"上海海事大学, 交通管理, 大四，GPA89.2，雅思6.5"
新加坡国立大学供应链管理理学硕士,"苏州大学, 物流管理, 大四，GPA90，雅思6.5"
新加坡国立大学供应链管理理学硕士,"苏州大学, 物流管理, 大四，GPA90.09，雅思:6.5(L:7.0/R:6.5/W:6.0/S:6.0)"
新加坡国立大学供应链管理理学硕士,"苏州大学, 物流管理, 大四，GPA89，雅思6.5"
新加坡国立大学供应链管理理学硕士,"大连理工大学, 电子商务, 一年工作经验，GPA88.2，雅思6.5"
新加坡国立大学金融学理学硕士,"上海交通大学, 金融学, 已毕业，GPA83，托福105，GRE323"
新加坡国立大学可持续与绿色金融理学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA85.98，雅思7.5"
新加坡国立大学战略分析与创新理学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA85.98，雅思7.5"
新加坡国立大学会计学理学硕士,"西南财经大学, 税收学, 大四，GPA88，雅思7.5（6.5），GRE321"
南洋理工大学应用经济学,"西南财经大学, 税收学, 大四，GPA88，雅思7.5（6.5），GRE321"
南洋理工大学应用经济学,"上海交通大学, 经济学, 已毕业，GPA86，雅思7"
南洋理工大学应用经济学,"中国人民大学（苏州）, 金融学, 大四，GPA85.98，雅思7.5"
南洋理工大学工商管理硕士,"UCI, Business Econ, 三年工作经验，GPA3.3，/，GRE332"
南洋理工大学科技创业与创新（英文授课）,"河海大学, 物联网工程, 一年工作经验，GPA81.48，雅思7.0"
南洋理工大学科技创业与创新（中文授课）,"华南理工大学, 光信息科学与技术, 三年以上工作经验，GPA75，雅思6.0"
南洋理工大学科技创业与创新（中文授课）,"苏州大学应用技术学院, 财务管理, 三年以上工作经验，GPA82.9，托福110"
南洋理工大学供应链工程,"同济大学, 机械电子工程, 大四，GPA83.46，雅思6.5"
南洋理工大学应用经济学,"北京航空航天大学, 经济统计学, 大四，GPA87.76，雅思7.0"
新加坡管理大学商业信息技术硕士,"华南农业大学, 信息管理与信息系统, 大四，GPA88.8，雅思7，暂无"
新加坡国立大学金融工程,"北京大学, 金融学, 已毕业，GPA3.5，托福99"
新加坡管理大学商业信息技术硕士,"河海大学, 物联网工程, 一年工作经验，GPA81.48，雅思7.0"
南洋理工大学供应链工程,"上海交通大学, 交通运输, 大四，GPA80.16，雅思:7.0(L:8.0/R:7.5/W:6.5/S:6.0)"
新加坡管理大学专业会计,"中国地质大学（武汉）, 工商管理, 已毕业，GPA3.51，雅思6.5"
南洋理工大学应用经济学,"中国人民大学（苏州）, 金融学, 大四，GPA86.9，IELTS: 7.5"
南洋理工大学应用经济学,"中国人民大学（苏州）, 金融学, 大四，GPA88.6，雅思:7.5(L:8.0/R:8.5/W:6.5/S:6.5)，GMAT:720"
南洋理工大学应用经济学,"中国人民大学, 金融学, 大四，GPA86.2，雅思7"
