school,applicant
南洋理工大学绿色电子理学硕士,"哈尔滨工业大学, 光电信息科学与工程, 已毕业，GPA85.2，雅思7"
新加坡国立大学能源系统理学硕士,"华南理工大学, 一年工作经验，GPA83，雅思7.5"
南洋理工大学材料科学与工程理学硕士,"西安交通大学, 新能源, 大四，GPA87.5"
南洋理工大学智能制造理学硕士,"武汉理工大学, 工业工程, 大四，GPA87.74，雅思7"
南洋理工大学智能制造理学硕士,"清华大学, 工业工程, 大四，GPA3.23，TOEFL: 106"
南洋理工大学智能制造理学硕士,"华南理工大学, 机械工程, 大四，GPA81，雅思6.5"
南洋理工大学智能制造理学硕士,"重庆大学, 机械设计制造及其自动化（中外合作办学）, 大四，GPA88，雅思6.5"
新加坡国立大学软件工程科技硕士,"合肥工业大学, 软件工程, 大四，GPA91.02，雅思6.5，GRE329"
新加坡国立大学软件工程科技硕士,"北京工业大学北京-都柏林国际学院, 软件工程, 大四，GPA3.43，雅思7"
新加坡国立大学软件工程科技硕士,"复旦大学, 计算机科学与技术, 大四，GPA85，雅思6.5"
新加坡国立大学工业4.0理学硕士,"哈尔滨工业大学, 数字媒体技术, 已毕业，GPA87.48，雅思6.0"
新加坡国立大学软件工程科技硕士,"新南威尔士大学, 计算机, 大四，GPA3.0，免"
南洋理工大学计算机控制与自动化理学硕士,"湖南大学, 机械设计制造及其自动化, 大四，GPA82，雅思6.5"
南洋理工大学计算机控制与自动化理学硕士,"哈尔滨工程大学, 自动化, 大四，GPA89，雅思7"
南洋理工大学计算机控制与自动化理学硕士,"南京理工大学, 电子信息类, 已毕业，GPA84.07，雅思:6.5(L:6.5/R:7/W:6/S:5.5)"
南洋理工大学计算机控制与自动化理学硕士,"大连海事大学, 机械设计制造及其自动化, 已毕业，GPA92.5，雅思6.5"
南洋理工大学计算机控制与自动化理学硕士,"北京航空航天大学, 信息对抗技术, 大四，GPA83，托福110，GRE326"
南洋理工大学计算机控制与自动化理学硕士,"苏州大学, 电气工程与智能控制, 大四，GPA87.3，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA87.6，雅思:6.5(L:6.5/R:8.0/W:6.0/S:5.5)"
新加坡国立大学电子工程理学硕士,"东北大学秦皇岛分校, 通信工程, 大四，GPA88.8，雅思6.5"
新加坡国立大学环境工程理学硕士,"华中科技大学, 给排水科学与工程, 大四，GPA3.55，雅思:6.5(L:6/R:8.5/W:6/S:5.5)"
新加坡国立大学安全、健康与环境技术理学硕士,"华中科技大学, 给排水科学与工程, 大四，GPA3.55，雅思:6.5(L:6/R:8.5/W:6/S:5.5)"
新加坡国立大学机械工程理学硕士,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要"
新加坡国立大学土木工程理学硕士,"吉林大学, 道路桥梁与渡河工程, 大四，GPA86.40，雅思:6.0(L:6.0/R:7.0/W:5.5/S:5.5)"
新加坡国立大学土木工程理学硕士,"北京工业大学, 土木工程, 大四，GPA88.66，雅思6/5.5"
新加坡国立大学工业系统工程理学硕士,"华南理工大学, 工业工程专业, 大四，GPA84.43，雅思:6.0(L:6.0/R:6.5/W:5.5/S:5.5)"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 物流管理, 大四，GPA86，雅思:7(L:7.5/R:7.5/W:6.5/S:5.5)"
新加坡国立大学工业系统工程理学硕士,"北京邮电大学, 电子商务及法律, 大四，GPA87，雅思7.5"
新加坡国立大学机械工程理学硕士,"politecnico di torino, 汽车工程, 大四，GPA26.59，雅思8.5"
新加坡国立大学工业系统工程理学硕士,"浙江大学, 海洋工程与技术, 大四，GPA84.67，雅思7.0"
新加坡国立大学土木工程理学硕士,"长安大学, 道路桥梁与渡河工程（中外合作办学）, 大四，GPA83，雅思:6.5(L:7/R:7/W:6/S:6.5) 托福:，GRE:320 GMAT:"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA87.87，雅思:6.5(L:6.5/R:7.0/W:6.0/S:6.0)"
新加坡国立大学生物医学工程理学硕士,"上海交通大学, 生物医学工程, 大四，GPA77.04，托福:85(L:21/R:23/W:23/S:18)"
新加坡国立大学机器人学理学硕士,"北京邮电大学, 机械工程（机器人试验班）, 已毕业，GPA88.06，雅思7，无"
新加坡国立大学安全、健康与环境技术理学硕士,"中山大学, 海洋科学, 已毕业，GPA83，雅思6"
新加坡国立大学项目管理理学硕士,"清华大学, 土木、水利与海洋工程, 大四，GPA3.26，雅思7"
新加坡国立大学工业系统工程理学硕士,"清华大学, 土木、水利与海洋工程, 大四，GPA3.26，雅思7"
新加坡国立大学机械工程理学硕士,"大连海事大学, 机械设计制造及其自动化, 已毕业，GPA92.5，雅思6.5"
新加坡国立大学机器人学理学硕士,"大连海事大学, 机械设计制造及其自动化, 已毕业，GPA92.5，雅思6.5"
新加坡国立大学材料科学与工程理学硕士,"北京航空航天大学, 材料科学与工程, 大四，GPA85.52，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA89.2，雅思6.5"
新加坡国立大学工业系统工程理学硕士,"东北师范大学, 已毕业，GPA87.02，雅思:7.5(L:7.5/R:8.5/W:7.0/S:6.0)"
新加坡国立大学工业系统工程理学硕士,"苏州大学, 物流管理, 大四，GPA90.09，雅思:6.5(L:7.0/R:6.5/W:6.0/S:6.0)"
新加坡国立大学土木工程理学硕士,"北京交通大学, 交通运输, 大四，GPA83.3，雅思7.5"
新加坡国立大学机器人学理学硕士,"哈尔滨工业大学（深圳）, 自动化, 大四，GPA91.86，雅思7"
新加坡国立大学工业系统工程理学硕士,"武汉理工大学, 工业工程, 大四，GPA87.74，雅思7"
新加坡国立大学技术与创新管理理学硕士,"上海交通大学, 船舶与海洋工程, 已毕业，GPA2.97，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 经济学(海运与物流经济), 大四，GPA87.7，雅思:6.5(L:7.5/R:7.5/W:6.0/S:5.5)"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA3.57，雅思7"
新加坡国立大学环境工程理学硕士,"南京大学, 环境化学, 大四，GPA4.12，托福89"
新加坡国立大学工业系统工程理学硕士,"苏州大学, 物流管理, 大四，GPA90，雅思6.5"
新加坡国立大学计算机工程理学硕士 - 通识方向,"吉林大学, 信息与计算科学, 已毕业，GPA87.1，雅思6.5"
新加坡国立大学土木工程理学硕士,"长安大学, 道路桥梁与渡河工程（中外合作办学）, 大四，GPA86.47，雅思6.5"
新加坡国立大学生物医学工程理学硕士,"北京航空航天大学, 生物医学工程, 大四，GPA85.5，雅思7.0"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA87，雅思:6.5(L:6.5/R:7/W:6/S:6)"
新加坡国立大学安全、健康与环境技术理学硕士,"南京大学, 环境化学, 大四，GPA4.12，托福89"
新加坡国立大学工业系统工程理学硕士,"清华大学, 工业工程, 大四，GPA3.23，TOEFL: 106"
新加坡国立大学生物医学工程理学硕士,"四川农业大学, 生物科学, 大四，GPA86.74，雅思6.5"
新加坡国立大学机械工程理学硕士,"重庆大学, 机械设计制造及其自动化（中外合作办学）, 大四，GPA88，雅思6.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA90，雅思6.5"
新加坡国立大学工业系统工程理学硕士,"东北师范大学, 物流管理, 已毕业，GPA86.85，托福106，GRE334"
南洋理工大学信号处理,"中山大学, 物理学, 大四，GPA83，雅思7.5"
新加坡国立大学智能系统科技硕士,"东南大学, 人工智能, 大四，GPA83.39，雅思7.5"
南洋理工大学电子学,"哈尔滨工业大学, 光电信息科学与工程, 已毕业，GPA85.2，雅思7"
南洋理工大学通信工程,"南京理工大学, 通信工程, 大四，GPA85.89，雅思6.5"
南洋理工大学通信工程,"山东大学, 通信工程, 大四，GPA82，雅思6.5"
新加坡国立大学工业4.0理学硕士,"苏州大学, 物流管理, 大四，GPA3.8，雅思6.5"
南洋理工大学电子学,"中国科学院大学, 电子信息工程, 已毕业，GPA3.55，雅思:7(L:7.5/R:8/W:6/S:6)"
南洋理工大学电子学,"天津大学, 电子信息工程, 大四，GPA3.24，雅思6.5"
