school,applicant
新加坡国立大学化学科学理学硕士,"广东以色列理工学院, 化学工程与工艺, 已毕业，GPA81.8，雅思6.5"
新加坡国立大学生物技术理学硕士,"苏州大学, 生物技术, 大四，GPA82，雅思7"
新加坡国立大学生物技术理学硕士,"中山大学, 生物技术, 大四，GPA83，雅思7"
新加坡国立大学生物技术理学硕士,"华东理工大学, 生物科学, 已毕业，GPA3.45，雅思7.5"
新加坡国立大学统计学,"对外经济贸易大学, 精算实验班, 大四，GPA86.21，托福101，GRE326"
新加坡国立大学统计学理学硕士,"北京航空航天大学, 经济统计学, 大四，GPA87.76，雅思7.0"
新加坡国立大学物理学理学硕士,"吉林大学, 物理学, 大四，GPA78.76，雅思:7.0(L:7.5/R:7.0/W:6.5/S:6.0)"
新加坡国立大学物理,"厦门大学, 化学, 已毕业，GPA86.15，雅思:6.5(L:7.0/R:7.5/W:5.5/S:5.5)"
新加坡国立大学技术物理学理学硕士,"南京大学, 物理学, 已毕业，GPA78，雅思6.5"
南洋理工大学分析学,"北京工业大学, 数学与应用数学, 大四，GPA88，雅思7，GRE328"
新加坡国立大学技术物理学理学硕士,"华南师范大学, 信息工程, 大四，GPA3.58，雅思6.5"
新加坡国立大学技术物理学理学硕士,"华南师范大学, 信息工程, 大四，GPA3.48，雅思6.5"
新加坡国立大学技术物理学理学硕士,"中山大学, 物理学, 大四，GPA83，雅思7.5"
南洋理工大学生物医学数据科学硕士,"山东大学（威海）, 应用物理学, 大四，GPA77，雅思6.5"
南洋理工大学生物医学数据科学硕士,"南开大学, 智能医学工程, 大四，GPA87.66，雅思7.5，GRE317"
新加坡国立大学生物技术理学硕士,"上海交通大学, 生物医学工程, 大四，GPA77.04，托福:85(L:21/R:23/W:23/S:18)"
南洋理工大学化学科学与仪器理学硕士,"广东以色列理工学院, 化学工程与工艺, 已毕业，GPA81.8，雅思6.5"
南洋理工大学精密科学仪器理学硕士,"沈阳化工大学, 应用物理学, 已毕业，GPA89，托福100 "
南洋理工大学精密科学仪器理学硕士,"浙江大学, 物理学, 已毕业，GPA79.54，雅思6.5"
新加坡国立大学化学科学理学硕士,"重庆科技学院, 化学, 大四，GPA3.81，雅思7.0"
新加坡国立大学制药科学与技术理学硕士,"中国药科大学, 药学, 已毕业，GPA83.69，雅思6.5"
南洋理工大学数据科学理学硕士,"武汉大学, 信息安全, 大四，GPA3.4，雅思6.5"
新加坡国立大学生物多样性保护与基于自然的气候解决方案理学硕士,"中国农业大学, 设施农业科学与工程, 大四，GPA3.56，雅思6.5"
新加坡国立大学统计学,"中央财经大学, 应用数学, 已毕业，GPA85，雅思6.0"
新加坡国立大学统计学,"上海财经大学, 金融学（计算机）, 已毕业，GPA3.51，雅思7"
新加坡国立大学统计学,"不列颠哥伦比亚大学, 统计, 大四，GPA86，免语言成绩"
新加坡国立大学统计学,"加州大学欧文分校, 经济统计学, 已毕业，GPA3.5，GRE340"
新加坡国立大学统计学,"清华大学, 建筑, 大四，GPA86，雅思8.0"
新加坡国立大学统计学,"复旦大学, 数据科学与大数据技术, 大四，GPA3.24，雅思7.0，GRE322"
新加坡国立大学统计学,"上海财经大学, 经济统计学（金融统计与风险管理）, 大四，GPA3.34，雅思7.5"
新加坡国立大学统计学,"上海财经大学, 金融学, 已毕业，GPA3.57，雅思7.0"
新加坡国立大学统计学,"对外经济贸易大学, 精算, 大四，GPA86.05，雅思7.5"
新加坡国立大学技术物理学理学硕士,"华南师范大学, 物理, 大四，GPA3.11，雅思6.5"
新加坡国立大学物理,"华南师范大学, 物理学（师范）, 大四，GPA3.75，雅思6.5"
新加坡国立大学物理,"华南师范大学, 物理, 大四，GPA3.11，雅思6.5"
新加坡国立大学生物多样性保护与基于自然的气候解决方案理学硕士,"中国农业大学, 资源环境科学-植物营养方向, 大四，GPA3.82，雅思7.5，GRE328"
新加坡国立大学化学科学理学硕士,"中国农业大学, 设施农业科学与工程, 大四，GPA3.56，雅思6.5"
新加坡国立大学生物医学信息学理学硕士,"北京交通大学, 信息管理与信息系统, 大四，GPA86.9，雅思7.5"
新加坡国立大学生物医学信息学理学硕士,"多伦多大学, 统计, 大四，GPA3.2，免语言成绩"
新加坡国立大学统计学,"山东大学（威海）, 金融, 大四，GPA90.4，雅思6.5"
新加坡国立大学生物多样性保护与基于自然的气候解决方案理学硕士,"中山大学, 海洋科学, 已毕业，GPA81，雅思6.0"
新加坡国立大学统计学,"曼彻斯特大学, Mathematics and Statistics, 大四，GPA83.6，免语言成绩，GMAT760"
新加坡国立大学数学理学硕士,"中南大学, 数学与应用数学, 大四，GPA85.87，雅思7.0，GRE317"
新加坡国立大学统计学,"中央财经大学, 国际经济与贸易, 已毕业，GPA89.13，雅思7.5，GMAT730"
新加坡国立大学统计学,"东南大学, 金融工程, 大四，GPA3.82，雅思7.0"
新加坡国立大学统计学,"中央财经大学, 应用统计学, 已毕业，GPA88，雅思7.0"
