school,applicant
南洋理工大学中国与全球治理社会科学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA85.98，雅思7.5"
新加坡国立大学中国文化与语言文学硕士,"华东师范大学, 汉语言文学, 大四，GPA85.4，雅思6.5"
新加坡国立大学中国文化与语言文学硕士,"东北师范大学, 汉语言文学, 三年工作经验，GPA3.5，雅思6"
南洋理工大学中国与全球治理社会科学硕士,"复旦大学, 国际政治, 大四，GPA85，雅思7.0"
南洋理工大学中国与全球治理社会科学硕士,"西安交通大学, 社会学, 已毕业，GPA80.45，雅思6.5"
南洋理工大学中国与全球治理社会科学硕士,"复旦大学, 行政管理, 大四，GPA85，雅思7"
南洋理工大学中国与全球治理社会科学硕士,"中国人民大学, 行政管理, 大四，GPA85，雅思:7.0(L:7.5/R:7.5/W:6.5/S:6.0)"
南洋理工大学中国与全球治理社会科学硕士,"武汉大学, 日语, 大四，GPA3.75，雅思6.5"
南洋理工大学中国与全球治理社会科学硕士,"南开大学, 哲学, 大四，GPA86.67，雅思6.5"
新加坡国立大学当代东南亚文学硕士,"同济大学, 政治学与行政学, 大四，GPA87.5，雅思7.5(L:7.5/R:8.5/W:6.5/S:6.5)"
新加坡国立大学城市规划硕士,"大连理工大学, 城乡规划, 大四，GPA84.9，雅思:6.5(L:7/R:6.5/W:6/S:5.5)"
新加坡国立大学中国文化与语言,"华中师范大学, 汉语言文学, 大四，GPA86.73，雅思7.5(L:7.5/R:8.5/W:6.5/S:6.5)"
新加坡国立大学中国文化与语言,"南京师范大学, 汉语言文学（师范）, 已毕业，GPA88.88，雅思6.5(L:6/R:7/W:6/S:6)"
新加坡国立大学中国文化与语言,"华东师范大学, 汉语言文学, 大四，GPA90.87，雅思7"
南洋理工大学媒体与传播,"北京化工大学, 物流管理, 三年工作经验，GPA83，雅思7"
新加坡国立大学中国文化与语言,"北京大学, 汉语言文学, 大四，GPA85，雅思8"
新加坡国立大学中国文化与语言,"武汉大学, 汉语言文学, 大四，GPA3.77，雅思7.5"
新加坡国立大学中国文化与语言,"华南师范大学, 汉语言, 大四，GPA90，雅思7"
新加坡国立大学传播学社会科学硕士,"澳门科技大学, 传播学, 大四，GPA3.7，雅思7.0"
新加坡国立大学国际商法,"南京大学, 法学, 已毕业，GPA4.35，雅思7.0"
新加坡国立大学文化艺术创新创业管理文学硕士,"南京大学, 朝鲜语, 大四，GPA90，雅思7.5"
新加坡国立大学文化艺术创新创业管理文学硕士,"复旦大学, 广告学, 大四，GPA3.37，雅思7.0"
南洋理工大学中国与全球治理社会科学硕士,"西南交通大学, 新闻传播, 已毕业，GPA86，雅思6.5"
南洋理工大学中国与全球治理社会科学硕士,"北京大学, 广告学, 已毕业，GPA3.2，雅思6.5"
南洋理工大学中国与全球治理社会科学硕士,"澳门大学, 日本研究, 已毕业，GPA85，雅思6.5"
南洋理工大学对外汉语教学,"西南交通大学, 新闻传播, 已毕业，GPA86，雅思6.5"
南洋理工大学对外汉语教学,"广东外语外贸大学, 阿拉伯语专业, 三年工作经验，GPA80，雅思6.0"
南洋理工大学对外汉语教学,"中山大学, 汉语言文学, 已毕业，GPA3.3，雅思6.5"
南洋理工大学对外汉语教学,"绍兴文理学院, 汉语国际教育, 三年以上工作经验，GPA3.4，雅思6.5"
南洋理工大学对外汉语教学,"复旦大学, 汉语言文学, 大四，GPA3.18，雅思6.0"
南洋理工大学对外汉语教学,"北京理工大学珠海学院, 汉语国际教育, 一年工作经验，GPA84.3，六级442"
南洋理工大学对外汉语教学,"中国传媒大学南广学院, 汉语国际教育, 一年工作经验，GPA3.77，雅思6.5"
南洋理工大学对外汉语教学,"江南大学, 汉语言, 已毕业，GPA3.1，雅思6.5"
南洋理工大学对外汉语教学,"江苏师范大学, 汉语国际教育, 两年工作经验，GPA3.4，雅思6"
南洋理工大学对外汉语教学,"河北师范大学, 汉语言文学, 三年工作经验，GPA3.31，六级507"
南洋理工大学应用语言学,"海南大学, 英语, 一年工作经验，GPA3.75，雅思7.5"
南洋理工大学教育学,"华北电力大学（保定）, 英语, 已毕业，GPA88.63，雅思6.5"
南洋理工大学中国与全球治理社会科学硕士,"中南财经政法大学, 会计学, 大四，GPA89.1，雅思7.5"
南洋理工大学中国与全球治理社会科学硕士,"北京航空航天大学, 工商管理, 已毕业，GPA83.62，托福110"
新加坡国立大学建筑保护文学硕士,"太原理工大学, 文物保护技术, 大四，GPA83，雅思6.0"
南洋理工大学中国与全球治理社会科学硕士,"中国农业大学, 国际经济与贸易, 已毕业，GPA82，雅思7.0"
