school,applicant
昆士兰大学商学硕士（1.5年制）,"汕头大学, 会计学, 三年以上工作经验，GPA84，无"
悉尼大学商学硕士,"厦门大学, 会计, 已毕业，GPA79.47，无"
澳大利亚国立大学营销管理硕士,"上海立信会计金融学院, 保险学, 大四，GPA85.46，雅思:7"
昆士兰大学商业硕士（1.5年制）,"江苏大学, 工商管理, 大四，GPA82.1，托福:96(L:29/R:28/W:20/S:19)"
新南威尔士大学国际商务硕士,"浙江大学, 园艺, 一年工作经验，GPA77.09，无"
悉尼大学商学硕士,"谢菲尔德大学, 商务管理, 大四，GPA60，无"
新南威尔士大学金融分析硕士,"中国海洋大学, 金融学, 大四，GPA97.93，无"
莫纳什大学商业硕士（11个方向）,"澳门科技大学, 金融, 大四，GPA79，雅思6（5.5）"
悉尼大学商学（延伸课程）,"中山大学, 历史学, 大四，GPA90，雅思7"
墨尔本大学管理学（金融）,"湖南工商大学, 会计学, 大四，GPA89.5，无"
新南威尔士大学金融分析,"香港中文大学,  accounting major finance stream, 已毕业，GPA3.11，雅思7/6"
新南威尔士大学金融学硕士,"上海大学, 金融学, 大四，GPA82，雅思7.5"
悉尼大学专业会计与商业绩效,"天津工业大学, 财务管理, 已毕业，GPA88.32，雅思:7(L:7.5/R:8.5/W:6/S:6) 托福:，GRE: GMAT:"
悉尼大学商学,"天津工业大学, 财务管理, 已毕业，GPA88.32，雅思:7(L:7.5/R:8.5/W:6/S:6) 托福:，GRE: GMAT:"
悉尼大学商学硕士,"北京工业大学, 金融学, 大四，GPA89.92，雅思6.5"
昆士兰大学国际经济与金融（1.5年制）,"澳门科技大学, 大四，GPA2.98，无"
悉尼大学商学,"深圳大学, 市场营销, 大四，GPA87.3，雅思7，GMAT650"
悉尼大学商学（延伸课程）,"大连理工大学, 英语, 两年工作经验，GPA81，托福100，GRE331（162/169）"
昆士兰大学商学（1.5年制）,"华东政法大学, 会计学（司法会计方向）, 大四，GPA84.57，无"
悉尼大学专业会计与商业绩效,"厦门大学马来西亚分校, 会计, 大四，GPA2.85，雅思6.5，GMAT660"
新南威尔士大学商学（含14个方向）,"华东政法大学, 劳动与社会保障, 大四，GPA89.55，雅思:7(L:8.0/R:7.5/W:6.5/S:6.0)"
悉尼大学商学,"广东外语外贸大学, 市场营销, 大四，GPA88，无"
悉尼大学国际商务,"北京理工大学, 国际经济与贸易, 大四，GPA83，雅思7"
悉尼大学经济学,"南开大学, 金融学, 一年工作经验，GPA85，雅思6.5"
悉尼大学商学,"华盛顿州立大学, 酒店商务管理, 三年以上工作经验，GPA3.5，雅思7.5"
悉尼大学经济学,"天津外国语大学, 人力资源管理, 大四，GPA84，无"
悉尼大学商学,"University of Waterloo, 数学/工商管理, 大四，GPA74.7，无"
西澳大学商学（含小方向）,"浙江大学, 园艺, 一年工作经验，GPA77.09，无"
