school,applicant
悉尼大学运输硕士,"上海海事大学, 交通运输, 已毕业，GPA82.25，无"
悉尼大学工程学（通信工程）硕士,"南京工业大学, 光电信息, 大四，GPA81.3，480，不考"
新南威尔士大学环境管理硕士,"University of waterloo, Geography and Environmental Management, 大四，GPA72.3，无需"
悉尼大学工程学（通信工程）,"武汉理工大学, 电子科学与技术, 两年工作经验，GPA77.94，托福99"
墨尔本大学食品科学,"东北农业大学, 动物科学, 已毕业，GPA79.79，无"
悉尼大学工程学（结构工程）,"长安大学, 道路桥梁与渡河工程, 一年工作经验，GPA77.61，无"
新南威尔士大学信息技术,"广西科技大学, 软件工程（中外合作办学）, 大四，GPA82.63，雅思:6.0(L:6.0/R:7.0/W:6.0/S:5.0)"
悉尼大学交互设计与电子艺术,"爱丁堡大学, 建筑, 大四，GPA63，无"
悉尼大学信息技术,"兰州大学, 计算机科学与技术专业（数据科学方向）, 已毕业，GPA81.95，无"
昆士兰大学信息技术,"海南师范大学, 制药工程, 已毕业，GPA76， "
昆士兰大学信息技术,"西安交通大学, 自动化, 一年工作经验，GPA78.69，无"
悉尼大学工程学（电气工程）,"暨南大学, 大四，GPA3.0，雅思6.5"
新南威尔士大学工程科学（电气工程方向）,"北京科技大学, 自动化, 两年工作经验，GPA76.1，雅思:6.5(L:6.0/R:7.0/W:6.5/S:6.0)"
墨尔本大学生物医学工程硕士,"上海交通大学, 生物医学工程, 大四，GPA77.04，托福:85(L:21/R:23/W:23/S:18)"
新南威尔士大学信息技术,"东莞理工学院, 计算机科学与技术（多媒体设计）, 大四，GPA85，暂无"
西澳大学信息技术,"西安交通大学, 核工程与核技术, 三年以上工作经验，GPA81.75，雅思7.5（6）"
悉尼大学专业工程学（航空工程）,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要"
澳大利亚国立大学计算机（人工智能/计算机系统/计算基础/数据科学/以人为本的设计与软件开发/机器学习/专业计算）,"西安交通大学, 核工程与核技术, 三年以上工作经验，GPA81.75，雅思7.5（6）"
新南威尔士大学信息技术,"郑州大学, 电子商务, 大四，GPA80，无"
新南威尔士大学工程科学硕士（通信工程）,"中国民航大学, 电子信息工程, 大四，GPA86.95，雅思:6.5(L:7/R:6.5/W:5.5/S:6)"
墨尔本大学机械工程硕士,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要"
昆士兰大学信息技术,"天津工业大学, 环境工程, 大四，GPA81，无语言成绩"
莫纳什大学人工智能硕士,"厦门理工学院, 电子信息工程, 大四，GPA78.44，雅思6.5"
新南威尔士大学工程硕士（采矿）,"福州大学, 采矿工程, 大四，GPA79.27，无语言成绩"
新南威尔士大学信息技术,"西安交通大学, 自动化, 一年工作经验，GPA78.69，无语言成绩"
莫纳什大学信息技术,"海南师范大学, 制药工程, 已毕业，GPA76，无语言成绩"
悉尼大学工程学（通信工程）,"中国民航大学, 电子信息工程, 大四，GPA86.95，雅思:6.5(L:7/R:6.5/W:5.5/S:6)"
悉尼大学信息技术,"西安交通大学, 自动化, 一年工作经验，GPA78.69，无语言成绩"
悉尼大学信息技术,"郑州大学, 电子商务专业, 大四，GPA80.06，无语言成绩"
悉尼大学信息技术,"东莞理工学院, 计算机科学与技术（多媒体设计）, 大四，GPA85，暂无"
新南威尔士大学信息技术,"浙江科技学院, 软件, 大四，GPA83.3，雅思5.5"
昆士兰大学计算机科学（1.5年制）,"浙江科技学院, 软件工程, 大四，GPA83，雅思5.5"
悉尼大学信息技术,"浙江科技学院, 软件, 大四，GPA83.3，雅思5.5"
新南威尔士大学信息技术,"天津工业大学, 环境工程, 大四，GPA81，无语言成绩"
悉尼大学项目管理,"上海立信会计金融学院, 保险专业, 大四，GPA85.5，雅思6.5"
新南威尔士大学信息技术,"布达佩斯技术与经济大学, 计算机科学, 大四，GPA80，无语言成绩"
悉尼大学信息技术与信息技术管理双学位,"布达佩斯技术与经济大学, 计算机科学, 大四，GPA3.95，无语言成绩"
悉尼大学信息技术,"太原理工大学, 软件工程, 已毕业，GPA2.8，无语言成绩"
莫纳什大学信息技术,"广西科技大学, 软件工程, 大四，GPA82.63，雅思6.0"
阿德莱德大学生物制药工程学硕士,"海南师范大学, 制药工程, 已毕业，GPA76，无语言成绩"
莫纳什大学人工智能硕士,"天津工业大学, 环境工程, 大四，GPA81，无语言成绩"
悉尼大学工程学（通信工程）,"北京邮电大学, 通信工程, 大四，GPA79.2"
新南威尔士大学工程科学（通信工程方向）,"北京邮电大学, 通信工程, 大四，GPA79.2，雅思6.5"
悉尼大学信息技术,"南京理工大学, 计算机科学与技术, 已毕业，GPA83.3，雅思:6.5(L:6.5/R:7.0/W:6.0/S:5.5)"
悉尼大学项目管理,"北京建筑大学, 工程造价, 大四，GPA88.28，无语言成绩"
新南威尔士大学信息技术,"同济大学, 通信工程, 大四，GPA85.04，无语言成绩"
悉尼大学信息技术与信息技术管理双学位,"同济大学, 通信工程, 大四，GPA85.04，无语言成绩"
莫纳什大学信息技术,"东华大学, 功能材料(新能源与光电材料方向), 一年工作经验，GPA77，雅思7.0"
悉尼大学信息技术,"广西科技大学, 软件工程, 大四，GPA82.63，雅思6.0"
悉尼大学信息技术,"东华大学, 功能材料(新能源与光电材料方向), 一年工作经验，GPA77，雅思7.0"
昆士兰大学信息技术,"北京理工大学珠海学院, 自动化, 已毕业，GPA2.5，无语言成绩"
墨尔本大学环境学,"中国农业大学, 资源环境科学-植物营养方向, 大四，GPA3.82，雅思7.5，GRE328"
新南威尔士大学信息技术,"北京理工大学珠海学院, 自动化, 已毕业，GPA2.5，无语言成绩"
西澳大学信息技术,"北京理工大学珠海学院, 自动化, 已毕业，GPA2.5，无语言成绩"
莫纳什大学信息技术,"北京理工大学珠海学院, 自动化, 已毕业，GPA2.5，无语言成绩"
阿德莱德大学计算机科学,"北京理工大学珠海学院, 自动化, 已毕业，GPA2.5，无语言成绩"
澳大利亚国立大学计算机（人工智能/计算机系统/计算基础/数据科学/以人为本的设计与软件开发/机器学习/专业计算）,"澳门大学, 计算机科学, 大四，GPA82，雅思6.5"
悉尼大学信息技术与信息技术管理双学位,"武汉大学, 信息与计算科学, 大四，GPA2.85，无语言成绩"
悉尼大学专业工程硕士（加速）（软件）,"武汉大学, 信息与计算科学, 大四，GPA2.85，无语言成绩"
新南威尔士大学信息技术,"天津大学, 材料, 一年工作经验，GPA2.75，无语言成绩"
悉尼大学工程学（电气工程）,"南京工程学院, 自动化, 大四，GPA3.66，无语言成绩"
新南威尔士大学信息技术,"武汉大学, 信息与计算科学, 大四，GPA2.85，无语言成绩"
莫纳什大学信息技术,"香港中文大学, 生物化学, 已毕业，GPA2.89，免语言成绩"
新南威尔士大学采矿工程,"北京科技大学, 矿物加工工程, 大四，GPA75.41，无语言成绩"
莫纳什大学网络安全,"香港中文大学, 生物化学, 已毕业，GPA2.89，免语言成绩"
昆士兰大学信息技术,"南京工程学院, 自动化, 大四，GPA3.66，无语言成绩"
新南威尔士大学信息技术,"南京工程学院, 自动化, 大四，GPA3.66，无语言成绩"
莫纳什大学信息技术,"南京工程学院, 自动化, 大四，GPA3.66，无语言成绩"
昆士兰大学信息技术,"香港中文大学, 生物化学, 已毕业，GPA2.89，免语言成绩"
莫纳什大学工程学硕士（土木工程学）,"福州大学, 土木工程, 大四，GPA76.99，无语言成绩"
悉尼大学信息技术,"中国人民解放军国防科技大学, 信息安全, 大四，GPA80.57，雅思6.0"
新南威尔士大学工程（土木工程）,"福州大学, 土木工程, 大四，GPA76.99，无语言成绩"
昆士兰大学工程科学（1年制）,"重庆交通大学, 机械电子工程, 大四，GPA81，无语言成绩"
悉尼大学专业工程学（通信工程）,"上海交通大学, 物理学, 已毕业，GPA73.97，雅思7.0"
新南威尔士大学信息技术,"长安大学, 道路桥梁与渡河工程（中外合作办学）, 大四，GPA77.48，免语言成绩"
悉尼大学专业工程硕士（加速）（通信）,"上海交通大学, 物理学, 已毕业，GPA73.97，雅思7.0"
墨尔本大学工程管理学（项目管理）,"同济大学, 土木工程, 三年以上工作经验，GPA75，雅思7.5"
悉尼大学信息技术,"西交利物浦大学, 计算机科学与技术, 大四，GPA3.1，托福100，GRE320"
新南威尔士大学工程（机械工程）,"香港城市大学, 机械工程, 大四，GPA3.47，雅思6.5"
昆士兰大学信息技术,"杭州电子科技大学, 电子信息工程, 刚毕业，GPA3.82，雅思6.5"
悉尼大学工程学（通信工程）,"杭州电子科技大学, 电子信息工程, 刚毕业，GPA3.82，雅思6.5"
昆士兰大学信息技术,"杭州电子科技大学, 电子信息工程, 刚毕业，GPA3.82，雅思6.5"
新南威尔士大学工程科学（通信工程方向）,"杭州电子科技大学, 电子信息工程, 刚毕业，GPA3.82，雅思6.5"
莫纳什大学信息技术,"杭州电子科技大学, 电子信息工程, 刚毕业，GPA3.82，雅思6.5"
新南威尔士大学信息技术,"戴尔豪斯大学, CS, 毕业，GPA3.25"
澳大利亚国立大学计算机（人工智能/计算机系统/计算基础/数据科学/以人为本的设计与软件开发/机器学习/专业计算）,"戴尔豪斯大学, CS, 毕业，GPA3.25"
悉尼大学工程学（岩土工程）硕士,"以色列理工学院, 土木与环境工程, 大四，GPA76.1"
新南威尔士大学信息技术硕士,"三明学院, 土木工程, 已毕业，GPA2.78，GRE329"
莫纳什大学信息技术硕士,"三明学院, 土木工程, 已毕业，GPA2.78，GRE329"
新南威尔士大学土木工程硕士,"以色列理工学院, 土木与环境工程, 大四，GPA76.1"
悉尼大学信息技术与信息技术管理双学位硕士,"华东师范大学, 计算机科学与技术, 大四，GPA78.85，雅思7.5"
新南威尔士大学工程科学（系统与控制方向）硕士,"西南大学, 电子信息工程, 大四，GPA3.37，雅思6"
新南威尔士大学信息技术硕士,"广东工业大学, 电子信息科学与技术, 大四，GPA3.29"
悉尼大学信息技术与信息技术管理双学位硕士,"广东工业大学, 电子信息科学与技术, 大四，GPA3.29"
悉尼大学信息技术硕士,"广东工业大学, 电子信息科学与技术, 大四，GPA3.29"
新南威尔士大学工程科学（运输工程方向）硕士,"山东交通学院, 交通设备与控制工程, 大四，GPA83.97"
墨尔本大学环境学硕士,"中国人民大学, 环境工程, 一年工作经验，GPA79，雅思7"
新南威尔士大学环境管理硕士,"中国人民大学, 环境工程, 应届毕业生，GPA79"
墨尔本大学工程结构硕士,"华南理工大学, 土木工程, 大四，GPA3.65，雅思6.5"
墨尔本大学环境工程学硕士,"武汉大学, 遥感科学与技术, 大四，GPA2.73"
悉尼大学信息技术硕士,"北京邮电大学, 电子信息科学与技术, 工作2年，GPA75.05，雅思6.0"
悉尼大学信息技术硕士,"北京科技大学, 信息管理与信息系统, 毕业半年，GPA86.2，雅思6.0"
墨尔本大学环境学硕士,"华东师范大学, 生态学, 大四，GPA3.34，托福101"
墨尔本大学信息技术硕士,"同济大学, 计算机科学与技术, 大四，GPA89.91，托福89"
悉尼大学专业工程学（航空工程）硕士,"香港理工大学, 航空工程, 大四，GPA2.77"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）硕士,"武汉大学, 数理金融实验班, 已毕业，GPA3.32，托福85"
墨尔本大学信息技术硕士,"同济大学, 电子信息工程, 大四，GPA81.04，雅思6.5"
昆士兰大学信息技术硕士,"江南大学, 机械电子工程, 大四，GPA2.58，雅思6.5"
新南威尔士大学信息技术硕士,"江南大学, 机械电子工程, 大四，GPA2.58，雅思6.5"
悉尼大学信息技术硕士,"武汉大学, 遥感科学与技术, 大四，GPA2.73"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）硕士,"中国石油大学（华东）, 计算机, 工作1年，GPA3.3，雅思6.5"
新南威尔士大学工程项目管理硕士,"华南理工大学, 土木工程, 大四，GPA3.65，雅思6.5"
昆士兰大学环境管理（保护生物学/生物保护与自然资源管理/矿业环境管理/资源与环境经济/可持续发展）硕士,"成都信息工程大学, 环境科学, 大四，GPA75.42，雅思6.0"
墨尔本大学环境科学硕士,"北京林业大学, 生物技术+森林科学, 大四，GPA84，雅思7.0"
新南威尔士大学工程科学（生物医学工程方向）硕士,"太原理工大学, 生物医学工程, 工作1年，GPA2.99"
悉尼大学信息技术与信息技术管理双学位硕士,"西南财经大学（211）, 信息管理与信息系统, 工作2年，GPA80.54，雅思6.5"
阿德莱德大学工程学（土木与环境工程）硕士,"成都信息工程大学, 环境科学, 大四，GPA75.42，雅思6.0"
新南威尔士大学环境工程硕士,"成都信息工程大学, 环境科学, 大四，GPA75.42，雅思6.0"
悉尼大学环境科学硕士,"北京林业大学, 生物技术+森林科学, 大四，GPA84，雅思7.0"
悉尼大学环境科学硕士,"华东师范大学, 生态学, 大四，GPA3.34，托福101"
昆士兰大学信息技术硕士,"同济大学, 电子信息工程, 大四，GPA81.04，雅思6.5"
悉尼大学信息技术硕士,"同济大学, 计算机科学与技术, 大四，GPA89.88，托福89"
悉尼大学项目管理硕士,"山东建筑大学, 工程造价, 大四，GPA83.8，雅思6.5(6)"
悉尼大学信息技术管理硕士,"西南财经大学（211）, 信息管理与信息系统, 工作2年，GPA80.54，雅思6.5"
悉尼大学信息技术硕士,"上海大学, 计算机科学与技术, 工作0.5年，GPA3.28/84.7，雅思6.0(5.5)"
新南威尔士大学电气工程硕士,"湖南大学（985）, 电子科学, 工作半年，GPA79.43，雅思7.0"
新南威尔士大学工程项目管理硕士,"山东建筑大学, 工程造价, 大四，GPA83.8，雅思6.5(6)"
悉尼大学信息技术硕士,"同济大学, 电子信息工程, 大四，GPA81.04，雅思6.5"
悉尼大学信息技术与信息技术管理双学位硕士,"西北工业大学, 信息管理与信息系统, 大四，GPA85，雅思6.5"
悉尼大学信息技术与信息技术管理双学位硕士,"西北工业大学, 信息管理与信息系统, 大四，GPA88，雅思7(6)"
新南威尔士大学信息技术硕士,"同济大学, 电子信息工程, 大四，GPA3.65/5，雅思6.5（5.5）"
悉尼大学信息技术硕士,"中国石油大学（华东）, 计算机, 毕业半年，GPA80.4，雅思6.5(6)"
悉尼大学信息技术硕士,"武汉大学, 信息安全, 2年工作经验，GPA2.89"
墨尔本大学地球科学硕士,"中国石油大学（华东）, 地质学, 大四，GPA83.8，雅思6(6)"
墨尔本大学工程学（化学工程与商业）硕士,"以色列理工学院, 化学工程, 大四，GPA80.1"
墨尔本大学工程学（环境工程）硕士,"河海大学, 环境工程, 已毕业，GPA84，雅思6"
悉尼大学工程学（结构工程）硕士,"长沙理工大学, 土木, 大四，GPA87，雅思6.5 6"
新南威尔士大学土木工程硕士,"以色列理工学院, 土木与环境工程, 大四，GPA74.2"
昆士兰大学工程学（化学工程/土建及消防安全工程/土木及结构工程/电气工程/机械工程/软件工程）硕士,"河海大学, 环境工程, 已毕业，GPA84，雅思6"
昆士兰大学环境管理（保护生物学/生物保护与自然资源管理/矿业环境管理/资源与环境经济/可持续发展）硕士,"北京林业大学, 生物工程, 大四，GPA70.4，雅思6"
莫纳什大学环境与可持续（企业环境与可持续性管理/环境与治理/环境安全/国际发展与环境/可持续发展领导）硕士,"北京林业大学, 生物工程, 大四，GPA70.4，雅思6"
莫纳什大学信息技术硕士,"青岛大学, 电子信息科学与技术, 大四，GPA86.8"
澳大利亚国立大学项目管理硕士,"中山大学, 旅游管理, 一年工作经验，GPA3.5/4.0，雅思6/5.5"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）硕士,"华南理工大学, 热能与动力工程, 四年工作经验，GPA2.95，雅思7?6?"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）硕士,"哈尔滨工业大学, 软件工程, 毕业，GPA3.06，托福78"
澳大利亚国立大学计算机（高级）（人工智能/计算机基础/计算机系统/信息及人本运算/专业计算/软件工程）硕士,"中国科学技术大学, 信息安全, 大四，GPA2.64/77，雅思6.5?6?"
悉尼大学信息技术硕士,"哈尔滨工业大学, 软件工程, 毕业，GPA3.06，托福78"
悉尼大学信息技术硕士,"中国科学技术大学, 信息安全, 大四，GPA2.64/77，雅思6.5?6?"
莫纳什大学高级工程学（土木工程）（基础设施系统/交通/水利）硕士,"北京交通大学, 交通工程, 2018年毕业，GPA82.8"
悉尼大学工程学（通信工程）硕士,"西交利物浦大学, 电气及其自动化, 大四，GPA56"
澳大利亚国立大学机械电子工程硕士,"西交利物浦大学, 电气及其自动化, 大四，GPA56"
悉尼大学信息技术管理硕士,"南京邮电大学通达学院, 信息管理与信息系统, 大四，GPA83.1，雅思6.5(5.5)"
悉尼大学信息技术管理硕士,"湖北经济学院, 信息管理, 大四，GPA87.4，雅思6"
澳大利亚国立大学机械电子工程硕士,"华南理工大学, 热能与动力工程, 四年工作经验，GPA2.95，雅思7?6?"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）硕士,"华东师范大学, 统计, 大四，GPA76.8，雅思6"
悉尼大学交互设计与电子艺术硕士,"华东师范大学, 广播电视编导, 大四，GPA2.8，雅思6.5"
悉尼大学工程学（电力工程）硕士,"南京农业大学, 电气工程, 大四，GPA77，托福87"
澳大利亚国立大学能源变化硕士,"哈尔滨工业大学（威海）, 环境工程, 大四，GPA80，托福82"
新南威尔士大学工程科学（结构工程方向）硕士,"长沙理工大学, 土木, 大四，GPA87，雅思6.5 6"
墨尔本大学信息技术（计算机/分布式计算/空间/人机交互）硕士,"中南大学, 材料科学与工程, 大四，GPA84.13，雅思6.5(5.5)"
新南威尔士大学机械工程硕士,"太原理工大学, 机械设计制造及其自动化, 已毕业，GPA3.05"
新南威尔士大学信息技术硕士,"广东外语外贸大学, 软件工程, 一年工作经验，GPA87"
墨尔本大学工程学（机械工程）硕士,"华中科技大学, 船舶与海洋工程, 应届毕业生，GPA85.3，雅思6"
墨尔本大学计算机科学硕士,"浙江大学, 计算机科学与技术, 大四，GPA87，托福94，GRE321"
澳大利亚国立大学机械电子工程硕士,"西安交通大学, 过程装备与控制工程, 大四，GPA78"
新南威尔士大学信息技术硕士,"苏州大学, 软件工程（嵌入式培养）, 大四，GPA3.4，雅思6(5.5)"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）              硕士,"苏州大学, 软件工程（嵌入式培养）, 大四，GPA3.4，雅思6(5.5)"
墨尔本大学信息技术（计算机/分布式计算/空间）硕士,"东北大学秦皇岛分校, 测控技术与仪器, 大四，GPA80.6"
新南威尔士大学材料技术硕士,"中南大学, 材料科学与工程, 大四，GPA83.7，雅思6"
墨尔本大学工程学（机械工程）硕士,"大连理工大学, 机械设计制造及其自动化, 2年工作经验，GPA78.2"
莫纳什大学高级工程学（机械工程）硕士,"大连理工大学, 机械设计制造及其自动化, 3年工作经验，GPA78.2"
墨尔本大学环境工程学硕士,"中国农业大学, 农业水利工程, 大四，GPA77，托福90"
新南威尔士大学工程科学（项目管理方向）硕士,"上海大学, 生物工程, 大四，GPA75，雅思5.5"
昆士兰大学工程学（化学工程/土建及消防安全工程/土木及结构工程/电气工程/机械工程/软件工程）硕士,"澳门大学, 机电工程, 大四，GPA2.6"
悉尼大学项目管理硕士,"新疆大学, 通信工程, 工作三年，GPA82"
昆士兰大学工程学（化学工程/土建及消防安全工程/土木及结构工程/电气工程/机械工程/软件工程）硕士,"澳门大学, 土木工程, 大四，GPA2.5"
阿德莱德大学应用项目管理offer一枚,"澳门大学, 机电工程, 大四，GPA2.6"
悉尼大学项目管理offer一枚,"澳门大学, 机电工程, 大四，GPA2.6"
悉尼大学工程学（机械工程）offer一枚,"澳门大学, 机电工程, 大四，GPA2.6"
悉尼大学信息技术与信息技术管理双学位offer一枚,"北京信息科技大学, 信息管理与信息系统, 大四，GPA82"
新南威尔士大学工程科学（机械工程方向）offer一枚,"澳门大学, 机电工程, 大四，GPA2.6"
莫纳什大学信息技术offer一枚,"合肥工业大学, 测控技术与仪器, 大四，GPA77"
新南威尔士大学环境工程offer一枚,"武汉理工大学, 环境工程, 大四，GPA81.2"
新南威尔士大学土木工程offer一枚,"澳门大学, 土木工程, 大四，GPA2.5"
阿德莱德大学计算与创新offer一枚,"合肥工业大学, 测控技术与仪器, 大四，GPA77"
新南威尔士大学机械工程offer一枚,"大连理工大学, 机械设计制造及其自动化, 工作3年，GPA78.2"
澳大利亚国立大学项目管理硕士,"上海大学, 生物工程, 大四，GPA75，雅思5.5"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）              offer一枚,"合肥工业大学, 测控技术与仪器, 大四，GPA77"
阿德莱德大学应用项目管理offer一枚,"澳门大学, 土木工程, 大四，GPA2.5"
悉尼大学工程学（土木工程）offer一枚,"澳门大学, 土木工程, 大四，GPA2.5"
悉尼大学信息技术offer一枚,"深圳大学, 电子通信工程, 大四，GPA3.1，雅思7"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）              offer一枚,"中南大学, 材料科学与工程, 大四，GPA83.7，雅思5.5"
澳大利亚国立大学计算机（人工智能/计算机基础/计算机系统/信息及人本运算/软件工程）              offer一枚,"西南财经大学, 计算机科学与技术, 大四，GPA84，托福86，GRE310"
莫纳什大学高级工程学（材料工程）offer一枚,"中南大学, 材料科学与工程, 大四，GPA83.7，雅思5.5"
悉尼大学项目管理offer一枚,"中国农业大学, 农业水利工程, 大四，GPA77，托福81"
新南威尔士大学信息技术offer一枚,"北京信息科技大学, 信息管理与信息系统, 大四，GPA82"
莫纳什大学信息技术offer一枚,"北京信息科技大学, 信息管理与信息系统, 大四，GPA82"
悉尼大学工程学（电气工程）offer一枚,"合肥工业大学, 测控技术与仪器, 大四，GPA77"
新南威尔士大学工程科学（电气工程方向）offer一枚,"合肥工业大学, 测控技术与仪器, 大四，GPA77"
墨尔本大学信息技术学offer一枚,"武汉大学, 测绘工程, 大四，GPA 77，雅思6"
墨尔本大学工程学硕士offer一枚,"东北林业大学, 汽车服务工程, 大四，GPA 80，雅思6"
墨尔本大学计算机科学硕士offer一枚,"中国人民大学, 计算机, 大四，GPA 82，雅思7"
新南威尔士大学工程科学（机械工程方向）硕士offer一枚,"南京理工大学, 车辆工程, 大四，GPA 80，无雅思申请"
