school,applicant
莫纳什大学数据科学硕士,"广东外语外贸大学, 经济统计学, 已毕业，GPA83.7，NA"
悉尼大学专业工程学（化学与生物分子工程）,"西安培华学院, 药学, 大四，GPA85.88，无"
悉尼大学数据科学,"南京航空航天大学, 电子信息科学与技术, 大四，GPA80，无"
悉尼大学数据科学（机器学习）,"兰州大学, 计算机科学与技术专业（数据科学方向）, 已毕业，GPA81.95，无"
新南威尔士大学数据科学与决策硕士,"南京航空航天大学, 电子信息科学与技术, 大四，GPA80，无"
新南威尔士大学数据科学与决策硕士,"北京师范大学珠海分校, 应用统计学, 已毕业，GPA84，无"
莫纳什大学数据科学,"华东理工大学, 电气工程及其自动化, 大四，GPA83，雅思6.5"
悉尼大学数据科学（数据工程）,"北京师范大学珠海分校, 应用统计学, 已毕业，GPA84，无语言成绩"
莫纳什大学数据科学,"南京航空航天大学, 电子信息科学与技术, 大四，GPA80，无语言成绩"
悉尼大学数据科学,"西安交通大学, 自动化, 一年工作经验，GPA78.69，无语言成绩"
墨尔本大学生物技术,"东北大学, 生物工程, 已毕业，GPA86.02，无语言成绩"
墨尔本大学数据科学,"北京师范大学珠海分校, 应用统计学, 已毕业，GPA84，无语言成绩"
悉尼大学数据科学,"北京邮电大学, 通信工程, 大四，GPA79.2"
悉尼大学数据科学,"华东理工大学, 电子与电气工程, 大四，GPA3.3，雅思6.5"
悉尼大学数据科学,"西南大学, 计算机科学与技术, 已毕业，GPA3.49，雅思6.5"
悉尼大学数据科学,"宁波工程学院, 信息与计算科学（中外合作办学）, 大四，GPA91.7，雅思6.5"
昆士兰大学生物技术研究（1.5年制）,"北京理工大学, 生物技术, 已毕业，GPA3.36，雅思6.5"
墨尔本大学数据科学,"悉尼大学, 数据科学(Data Science), 金融数学与统计(Financial mathematics and statistics), 大四，GPA75，免语言成绩"
墨尔本大学数学与统计学,"北京工业大学, 数学, 已毕业，GPA81.82，无语言成绩"
昆士兰大学数据科学（2年制）,"北京工业大学, 数学, 已毕业，GPA81.82，无语言成绩"
莫纳什大学数据科学,"中央财经大学, 应用心理学（经济心理学方向）, 已毕业，GPA84，雅思6.5"
悉尼大学数据科学,"悉尼大学, 数据科学，金融数学与统计双学位, 大四，GPA75，免语言成绩"
昆士兰大学数据科学（2年制）,"中央财经大学, 应用心理学（经济心理学）, 已毕业，GPA84.26，雅思6.5"
墨尔本大学数据科学,"墨尔本大学, 数据, 大四，GPA69，无语言成绩"
墨尔本大学数据科学,"北京交通大学, 信息与计算科学, 大四，GPA85.6，托福84"
澳大利亚国立大学统计学硕士,"东北财经大学, 应用统计学, 2020.06月毕业，GPA81.1，托福95"
莫纳什大学数据科学硕士,"广东工业大学, 电子信息科学与技术, 大四，GPA3.29"
莫纳什大学生物技术硕士,"甘肃农业大学, 生物技术植物方向, 五年工作经验，GPA79"
澳大利亚国立大学统计学硕士,"复旦大学, 统计, 大四，GPA3.0，雅思7.0"
昆士兰大学生物技术硕士,"香港科技大学, 生物科学, 大四，GPA2.32"
昆士兰大学理学（数学/物理学/统计学）硕士,"武汉理工大学, 环境科学, 大四，GPA83"
昆士兰大学生物保护硕士,"中国海洋大学, 生态学, 大四，GPA86.2，雅思6.5"
昆士兰大学分子生物学硕士,"太原理工大学, 生物医学工程, 工作1年，GPA2.99"
昆士兰大学数据科学硕士,"西南财经大学（211）, 信息管理与信息系统, 工作2年，GPA80.54，雅思6.5"
昆士兰大学数据科学硕士,"北京大学, 理论与应用力学, 大四，GPA71.16，托福92，GRE2.14考"
悉尼大学海洋科学与管理硕士,"华东师范大学, 生态学, 大四，GPA3.34，托福101"
新南威尔士大学统计学硕士,"辽宁大学, 数学与应用数学, 毕业半年，GPA78.38"
昆士兰大学数据科学硕士,"复旦大学, 统计, 大四，GPA3.0，雅思7.0"
西澳大学数据科学硕士,"北京大学, 理论与应用力学, 大四，GPA71.16，托福92，GRE2.14考"
莫纳什大学数据科学硕士,"北京大学, 力学, 大四，GPA71.16，托福92"
新南威尔士大学统计学硕士,"复旦大学, 统计, 大四，GPA3.0，雅思7.0"
昆士兰大学数据科学硕士,"罗格斯大学, 电子, 工作1年，GPA2.76"
莫纳什大学数据科学硕士,"罗格斯大学, 电子, 工作1年，GPA2.76"
昆士兰大学数据科学硕士,"上海理工大学, 计算机, 大四，GPA3.55/4.5，雅思6.5(5)"
昆士兰大学数据科学硕士,"中国石油大学（华东）, 地质学, 大四，GPA83.8，雅思6(6)"
墨尔本大学数学与统计学（应用数学与数学物理学/离散数学与运筹学/纯数学/统计学与随机过程）硕士,"滑铁卢大学, Statistics, 大四，GPA75.04"
