school,applicant
悉尼大学数字传媒与文化硕士,"郑州大学, 网络与新媒体, 大四，GPA79.69，暂无"
莫纳什大学文化与创意产业硕士（2年制）,"上海政法学院, 汉语言文学, 已毕业，GPA89，雅思6.5"
墨尔本大学法学硕士,"中国政法大学, 德语+法学, 已毕业，GPA87.58，无"
悉尼大学跨文化与应用语言学硕士,"天津农学院, 英语, 已毕业，GPA84.5，无"
墨尔本大学社会政策学硕士,"华东政法大学, 行政管理, 大四，GPA86.19，无"
悉尼大学数字传媒与文化硕士,"多伦多大学, 媒体, 已毕业，GPA2.78，无"
悉尼大学国际法硕士,"中南财经政法大学, 治安学, 已毕业，GPA83.7，无"
悉尼大学城市与区域规划硕士,"吉林建筑大学, 城乡规划, 大四，GPA3.69，无"
悉尼大学法学硕士,"西南政法大学, 法学, 已毕业，GPA84，雅思6.5"
悉尼大学商业法,"北京师范大学, 法学, 已毕业，GPA82.44，无"
新南威尔士大学策展与文化领导硕士,"南京航空航天大学金城学院, 英语, 已毕业，GPA85.19，暂无"
悉尼大学建筑学,"爱丁堡大学, 建筑, 大四，GPA63，无"
悉尼大学公共政策,"华东政法大学, 劳动与社会保障, 大四，GPA89.55，雅思:7(L:8.0/R:7.5/W:6.5/S:6.0)"
悉尼大学公共政策,"国际关系学院, 日语, 大四，GPA88.4，雅思7.5"
悉尼大学政治经济学,"汕头大学, 会计学, 三年以上工作经验，GPA84，无"
悉尼大学公共卫生,"复旦大学, 临床医学（五年制）, 三年工作经验，GPA2.51，暂无"
悉尼大学全球健康,"复旦大学, 临床医学（五年制）, 三年工作经验，GPA2.51，暂无"
悉尼大学商业法,"中国政法大学, 德语+法学, 已毕业，GPA87.58，无"
悉尼大学国际法,"中国政法大学, 德语+法学, 已毕业，GPA87.58，无"
新南威尔士大学公共关系与广告学,"中央民族大学, 工商管理, 大四，GPA76.55，无"
墨尔本大学公共政策与管理,"华东政法大学, 劳动与社会保障, 大四，GPA3.7，雅思7"
墨尔本大学城市园艺学,"北京林业大学, 园林, 大四，GPA84，雅思6.0"
墨尔本大学社会政策学,"dalhousie, 社会学, 大四，GPA80，无"
西澳大学公共卫生,"复旦大学, 临床医学（五年制）, 三年工作经验，GPA2.51，暂无"
悉尼大学媒体实践,"四川大学, 会展经济与管理, 大四，GPA84，雅思:6.5(L:7.0/R:7.0/W:6.5/S:6.0)"
阿德莱德大学公共卫生,"复旦大学, 临床医学（五年制）, 三年工作经验，GPA2.51，暂无"
墨尔本大学营销传播学,"北京林业大学, 英语, 大四，GPA85.88，无"
墨尔本大学营销传播学,"东南大学, 日语, 已毕业，GPA86，无"
昆士兰大学传播学（针对社会改变的传播/战略传播）（2年制）,"澳门科技大学, 新闻传播学, 大四，GPA81.1，雅思:6.0(L:6.0/R:6.0/W:6.0/S:6.0)"
墨尔本大学营销传播学,"武汉大学, 编辑出版学, 大四，GPA89.31，雅思7.5（6.5）"
新南威尔士大学法学（含8个方向）,"常州大学, 法学, 大四，GPA78.4，无"
新南威尔士大学法学（含8个方向）,"武汉科技大学, 法学, 大四，GPA78.14，无"
悉尼大学教育学（教育心理学）,"南宁师范大学, 汉语言文学（含师范类、非师范类）, 已毕业，GPA87.46，无语言成绩"
悉尼大学战略公共关系,"中央民族大学, 工商管理, 大四，GPA76.55，无语言成绩"
莫纳什大学战略传播管理硕士（2年制）,"中央民族大学, 工商管理, 大四，GPA76.55，无语言成绩"
莫纳什大学法学（10个方向）,"武汉科技大学, 法学, 大四，GPA78.14，无语言成绩"
新南威尔士大学法学（含8个方向）,"华东政法大学, 侦查学, 大四，GPA83.76，雅思:7(L:8.5/R:7/W:6.5/S:6)"
莫纳什大学国际关系,"天津科技大学, 服装与服饰设计, 大四，GPA76.3，无语言成绩"
西澳大学法学,"武汉科技大学, 法学, 大四，GPA2.83，无语言成绩"
莫纳什大学法学（10个方向）,"常州大学, 法学, 大四，GPA78.4，无语言成绩"
悉尼大学媒体实践,"北京林业大学, 英语, 大四，GPA85.88，无语言成绩"
悉尼大学公共政策,"加拿大达尔豪斯大学, 社会学, 大四，GPA3.01，无语言成绩"
墨尔本大学公共政策与管理,"国际关系学院, 日语, 大四，GPA88.4，雅思7.5"
莫纳什大学公共政策硕士（2年制）,"加拿大达尔豪斯大学, 社会学, 大四，GPA3.01，无语言成绩"
昆士兰大学法学（1.5年制）,"武汉科技大学, 法学, 大四，GPA2.83，无语言成绩"
莫纳什大学战略传播管理硕士（1.5年制）,"复旦大学, 社会学, 一年工作经验，GPA75，无语言成绩"
昆士兰大学传播学(针对社会改变的传播/战略传播) (1.5年制),"浙大城市学院, 新闻学, 已毕业，GPA75，无语言成绩"
墨尔本大学对外英语教学,"华南农业大学珠江学院, 英语, 已毕业，GPA81，无语言成绩"
悉尼大学数字传媒与文化,"东南大学, 日语, 已毕业，GPA3.59，无语言成绩"
悉尼大学媒体实践,"东南大学, 日语, 已毕业，GPA3.59，无语言成绩"
悉尼大学数字传媒与文化,"浙大城市学院, 新闻学, 已毕业，GPA75，无语言成绩"
昆士兰大学应用语言学（2年制）,"华南农业大学珠江学院, 英语, 已毕业，GPA81，无语言成绩"
悉尼大学媒体实践,"华南农业大学珠江学院, 英语, 已毕业，GPA81，无语言成绩"
莫纳什大学传播学与媒体研究,"浙大城市学院, 新闻学, 已毕业，GPA75，无语言成绩"
墨尔本大学艺术策展,"北方工业大学, 建筑学, 大四，GPA3.87，雅思6.5"
悉尼大学商业法,"上海财经大学, 金融学, 已毕业，GPA3.06，雅思6.0"
悉尼大学国际法,"上海财经大学, 金融学, 已毕业，GPA3.06，雅思6.0"
新南威尔士大学策展与文化领导,"山西师范大学, 广播电视编导, 大四，GPA83，无语言成绩"
昆士兰大学法学（1年制）,"东北农业大学, 社会工作, 大四，GPA80，雅思6.0"
悉尼大学法学,"上海外国语大学, 法学(英语), 两年工作经验，GPA3.0，托福101"
昆士兰大学传播学(针对社会改变的传播/战略传播) (1.5年制),"闽江学院, 广告学, 已毕业，GPA82.56，无语言成绩"
新南威尔士大学新闻传播学,"闽江学院, 广告学, 已毕业，GPA82.56，无语言成绩"
新南威尔士大学法学（含8个方向）,"东北农业大学, 社会工作, 大四，GPA80，雅思6.0"
澳大利亚国立大学法学（人类安全法/国际法/新技术法/私商法/公法）,"东北农业大学, 社会工作, 已毕业，GPA83，多领国130"
莫纳什大学传播学与媒体研究,"闽江学院, 广告学, 已毕业，GPA82.56，无语言成绩"
昆士兰大学法学（1年制）,"烟台大学, 法学, 一年工作经验，GPA80，无语言成绩"
悉尼大学媒体实践,"闽江学院, 广告学, 已毕业，GPA82.56，无语言成绩"
悉尼大学国际法,"东北农业大学, 社会工作, 大四，GPA80，雅思6.0"
