school,applicant
南加州大学空间经济学与数据分析硕士,"中央财经大学, 金融学, 大四，GPA85.71，雅思7.5，GRE337"
纽约大学投资规划理学硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
东北大学分析学硕士,"三一学院, 计算机, 大四，GPA2.77，无"
东北大学分析学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
哥伦比亚大学社会科学定量方法硕士,"浙江大学, 大四，GPA91.17，托福105，GRE330"
约翰霍普金斯大学金融硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
哥伦比亚大学企业风险管理硕士,"香港中文大学（深圳）, 金融, 大四，GPA3.52，雅思7.5，GRE325"
佩珀代因大学商业分析硕士,"密歇根州立大学, 经济, 已毕业，GPA3.00，无"
东北大学信息系统硕士,"三一学院, 计算机, 大四，GPA2.77，无"
哥伦比亚大学经济学硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
圣路易斯华盛顿大学信息系统管理硕士,"北京林业大学, 信息管理与信息系统(管理信息), 大四，GPA88.03，托福98"
圣路易斯华盛顿大学信息系统管理硕士,"Baylor University, 管理信息系统, 大四，GPA3.68，无"
威斯康星大学麦迪逊分校商业分析硕士,"印第安纳大学凯利商学院, 金融和商业分析, 大四，GPA3.91，无，无"
东北大学信息系统硕士,"中央民族大学, 社会学, 三年以上工作经验，GPA3.23，托福103，GRE332"
波士顿学院应用分析学硕士,"兰州财经大学+美国北亚利桑那大学 2+2, 会计, 大四，GPA3.84，无"
佩珀代因大学商业分析硕士,"兰州财经大学+美国北亚利桑那大学 2+2, 会计, 大四，GPA3.84，无"
佩珀代因大学商业分析硕士,"对外经济贸易大学, 金融, 大四，GPA3.14，雅思6.5"
东北大学信息系统硕士,"复旦大学, 软件工程, 已毕业，GPA3.1，托福112，GRE325"
东北大学信息系统硕士,"电子科技大学, 软件工程, 已毕业，GPA81.63，托福97"
圣路易斯华盛顿大学信息系统管理硕士,"电子科技大学, 软件工程, 已毕业，GPA81.63，托福97"
南加州大学金融硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
东北大学分析学硕士,"中央民族大学, 社会学, 三年以上工作经验，GPA3.23，托福103，GRE332"
伊利诺伊大学香槟分校金融硕士,"中央财经大学, 金融学, 大四，GPA85.71，雅思7.5，GRE337"
东北大学分析学硕士,"悉尼大学, 机械工程, 大四，GPA3.0，海本免，无"
纽约大学金融工程硕士,"多伦多大学, 数学统计, 大四，GPA3.84，免，GRE333"
伊利诺伊大学香槟分校金融硕士,"对外经济贸易大学, 金融, 大四，GPA84.17，雅思7.5，GRE328"
伊利诺伊大学香槟分校金融硕士,"香港科技大学, 经济、会计, 大四，GPA3.27，雅思7.5，GRE322"
波士顿大学全球市场营销管理硕士,"加利福尼亚大学圣塔巴拉拉分校, 传媒, 大四，GPA3.21，无"
南加州大学金融硕士,"里士满大学, 市场营销, 大四，GPA3.67，无，GRE322"
康奈尔大学应用经济与管理硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
东北大学金融硕士,"美利坚大学, 金融, 大四，GPA3.33，无，GRE325"
佩珀代因大学商业分析硕士,"西南财经大学, 金融工程, 大四，GPA3.0，雅思6.5"
波士顿大学管理研究硕士,"加利福尼亚大学圣塔巴拉拉分校, 传媒, 大四，GPA3.21，无"
圣路易斯华盛顿大学金融硕士,"对外经济贸易大学, 金融, 大四，GPA84.17，雅思7.5，GRE328"
雪城大学信息系统硕士,"中央民族大学, 社会学, 三年以上工作经验，GPA3.23，托福103，GRE332"
波士顿大学金融管理硕士,"上海立信会计金融学院, 金融, 大四，GPA88.33，雅思6.5"
约翰霍普金斯大学应用经济硕士,"华东师范大学, 会计, 大四，GPA85，托福112，GRE330"
旧金山大学工商管理硕士,"上海对外经贸大学, 商法, 三年以上工作经验，GPA2.98，托福111，GRE332"
