school,applicant
西北大学项目管理理学硕士,"UIUC, 经济, 已毕业，GPA3.84，免，GRE335"
加州大学欧文分校计算机工程硕士,"上海交通大学, 电气工程, 大四，GPA3.45，雅思7，GRE321"
约翰霍普金斯大学电气与计算机工程工程硕士,"伦敦大学国王学院, 电子电气, 大四，GPA3.83，免语言，GRE332"
科罗拉多大学波德分校机械工程理学硕士,"南京工业大学, 机械工程, 大四，GPA91，雅思7，GRE327"
密歇根大学安娜堡分校机械工程硕士,"南京工业大学, 机械工程, 大四，GPA91，雅思7，GRE327"
弗吉尼亚大学电气工程工学硕士,"北京科技大学, 自动化, 大四，GPA3.4，托福97"
纽约大学电气工程硕士,"北京科技大学, 自动化, 大四，GPA3.4，托福97"
东北大学应用机器智能硕士,"三一学院, 计算机, 大四，GPA2.77，无"
纽约大学计算机科学硕士,"复旦大学, 软件工程, 已毕业，GPA3.1，托福112，GRE325"
罗切斯特大学电气工程理学硕士,"北京科技大学, 自动化, 大四，GPA3.4，托福81"
哥伦比亚大学电气工程硕士,"伦敦大学国王学院, 电子电气, 大四，GPA3.83，免语言，GRE332"
西北大学计算机工程硕士,"复旦大学, 软件工程, 已毕业，GPA3.1，托福112，GRE325"
南加州大学电气工程理学硕士,"伦敦大学国王学院, 电子电气, 大四，GPA3.83，免语言，GRE332"
乔治华盛顿大学计算机科学理学硕士,"复旦大学, 软件工程, 已毕业，GPA3.1，托福112，GRE325"
乔治华盛顿大学电气工程理学硕士,"暨南大学, 大四，GPA3.0，雅思6.5"
纽约大学科技管理理学硕士,"Baylor University, 管理信息系统, 大四，GPA3.68，无"
纽约大学科技管理理学硕士,"北京林业大学, 国际经济与贸易, 大四，GPA90.89，雅思7.5，GRE318"
波士顿大学计算机信息系统硕士,"三一学院, 计算机, 大四，GPA2.77，无"
南加州大学机械工程理学硕士,"南京工业大学, 机械工程, 大四，GPA91，雅思7，GRE327"
南加州大学计算机科学硕士,"西安交通大学, 工业设计, 大四，GPA89.56，雅思:8(L:8.5/R:8.5/W:7.5/S:6.5)"
波士顿大学计算机科学硕士,"复旦大学, 软件工程, 已毕业，GPA3.1，托福112，GRE325"
纽约大学机械工程理学硕士,"南京工业大学, 机械工程, 大四，GPA91，雅思7，GRE327"
纽约大学电气工程硕士,"伦敦大学国王学院, 电子电气, 大四，GPA3.83，免语言，GRE332"
西北大学环境工程与科学理学硕士,"中国农业大学, 环境工程, 大四，GPA3.85，托福108，GRE332"
南加州大学电子与计算机工程硕士-机器学习与数据科学,"华北电力大学, 电力, 已毕业，GPA89.78，托福95，GRE318"
波士顿大学计算机科学硕士,"郑州大学, 国贸, 三年以上工作经验，GPA88，雅思6.5"
南加州大学计算机科学硕士,"北京航空航天大学, 机械工程, 大四，GPA88，雅思7.5，GRE329"
加州大学圣地亚哥分校电气与计算机工程硕士,"武汉大学, 电气工程及其自动化, 已毕业，GPA84，雅思:7 (L:7/R:8.5/W:6.5/S:6.5)，GRE:328"
哥伦比亚大学机械工程理学硕士offer一枚,"北京航空航天大学, 机械工程, 大四，GPA88，雅思7.5，GRE329"
密歇根大学安娜堡分校电气与计算机工程硕士,"武汉大学, 电气工程及其自动化, 已毕业，GPA84，雅思:7 (L:7/R:8.5/W:6.5/S:6.5)，GRE:328"
加州大学伯克利分校工程硕士（管理科学与工程方向）,"美本 Top 40, 计算机、数学, 大四，GPA3.77，GRE321"
纽约大学计算机工程硕士,"西交利物浦大学, 计算机科学与技术, 大四，GPA3.19，托福100，GRE320"
圣路易斯华盛顿大学电气工程理学硕士offer一枚,"南开大学, 物理, 大四，GPA3.58，托福103，GRE322"
卡内基梅隆大学机械工程理学硕士offer一枚,"北京航空航天大学, 机械和航空, 大四，GPA91.7，雅思7.5，GRE333"
卡内基梅隆大学土木与环境工程理学硕士offer一枚,"中国农业大学, 环境工程, 大四，GPA3.85，托福108，GRE332"
哥伦比亚大学地球与环境工程理学硕士offer一枚,"中国农业大学, 环境工程, 大四，GPA3.85，托福108，GRE332"
南加州大学计算机科学硕士,"北京航空航天大学, 机械和航空, 大四，GPA91.7，雅思7.5，GRE333"
南加州大学计算机科学硕士,"复旦大学, 数据科学与大数据技术, 大四，GPA3.56，托福104，GRE330"
乔治华盛顿大学计算机科学理学硕士offer一枚,"西交利物浦大学, 计算机科学与技术, 大四，GPA3.19，托福100，GRE320"
