school,applicant
北卡罗来纳大学教堂山分校生物统计硕士,"香港中文大学（深圳）, 生物信息, 大四，GPA3.5，托福103，GRE325"
耶鲁大学生物统计硕士,"多伦多大学, 数学统计, 大四，GPA3.84，免，GRE333"
纽约大学生物统计硕士,"对外经济贸易大学, 精算实验班, 大四，GPA86.21，托福101，GRE326"
圣路易斯华盛顿大学生物统计学硕士,"对外经济贸易大学, 精算实验班, 大四，GPA86.21，托福101，GRE326"
密歇根大学安娜堡分校调查与数据科学理学硕士,"中南财经政法大学, 经济管理实验班, 已毕业，GPA84.84，雅思7"
纽约大学生物统计硕士,"华东理工大学, 生物科学, 已毕业，GPA3.45，雅思7.5"
南加州大学运筹学工程理学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
哥伦比亚大学环境健康数据科学硕士,"UIUC, 经济, 已毕业，GPA3.84，免，GRE335"
哥伦比亚大学统计学硕士,"香港中文大学（深圳）, 生物信息, 大四，GPA3.5，托福103，GRE325"
圣路易斯华盛顿大学生物统计学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
佐治亚州立大学精算学硕士,"对外经济贸易大学, 精算实验班, 大四，GPA86.21，托福101，GRE326"
密歇根大学安娜堡分校生物统计学理学硕士,"香港中文大学（深圳）, 生物信息, 大四，GPA3.5，托福103，GRE325"
康奈尔大学生物统计学与数据科学硕士,"香港中文大学（深圳）, 生物信息, 大四，GPA3.5，托福103，GRE325"
康奈尔大学生物统计学与数据科学硕士,"香港中文大学（深圳）, 生物信息, 大四，GPA3.5，托福103，GRE325"
匹兹堡大学生物统计学硕士,"华东理工大学, 生物科学, 已毕业，GPA3.45，雅思7.5"
波士顿大学统计实践硕士,"多伦多大学, 统计, 大四，GPA3.2"
波士顿大学应用生物统计学理学硕士offer一枚,"多伦多大学, 统计, 大四，GPA3.2"
波士顿大学统计实践硕士,"昆山杜克大学, 应用数学, 大四，GPA3.33，多邻国120，雅思6.5"
