school,applicant
杜克大学政治科学文学硕士,"浙江大学, 大四，GPA91.17，托福105，GRE330"
加州大学圣地亚哥分校国际事务硕士,"浙江大学, 大四，GPA91.17，托福105，GRE330"
纽约大学公共、非盈利管理与政策公共事务硕士,"格拉斯哥, 经济学, 大四，GPA3.81，免"
雪城大学新媒体管理硕士,"广东海洋大学, 行政管理, 大四，GPA3.45，托福105"
宾夕法尼亚大学国际公共管理硕士,"UIUC, 经济, 已毕业，GPA3.84，免，GRE335"
纽约大学国际教育文学硕士,"加拿大女王大学, 心理学, 大四，GPA4.01，免"
雪城大学公共关系学硕士,"广东海洋大学, 行政管理, 大四，GPA3.45，托福105"
福特汉姆大学媒体管理硕士,"广东海洋大学, 行政管理, 大四，GPA3.45，托福105"
纽约大学全球事务硕士,"国际关系学院, 日语, 大四，GPA88.4，雅思7.5"
乔治城大学公共政策硕士,"华东政法大学, 劳动与社会保障, 大四，GPA87.47，托福106，GRE330"
宾夕法尼亚大学国际公共管理硕士,"国际关系学院, 日语, 大四，GPA88.4，雅思7.5"
约翰霍普金斯大学教育科学硕士 - 国际教学和全球领导力队列,"北京大学,  阿拉伯语+中文, 已毕业，GPA3.55，雅思7.5"
康奈尔大学卫生政策与经济学硕士,"格拉斯哥, 经济学, 大四，GPA3.81，免"
宾夕法尼亚大学国际公共管理硕士,"格拉斯哥, 经济学, 大四，GPA3.81"
宾夕法尼亚大学国际公共管理硕士,"华东政法大学, 劳动与社会保障, 大四，GPA87.47，托福106，GRE330"
圣路易斯华盛顿大学法学硕士,"北京航空航天大学, 法学, 大四，GPA85，托福103，无"
密歇根大学安娜堡分校社会工作硕士,"华东政法大学, 劳动与社会保障, 大四，GPA87.47，托福106，GRE330"
波士顿大学法学硕士,"北京航空航天大学, 法学, 大四，GPA85，托福103，无"
南加州大学法学硕士,"北京航空航天大学, 法学, 大四，GPA85，托福103，无"
约翰霍普金斯大学公共管理文学硕士,"华东政法大学, 劳动与社会保障, 大四，GPA87.47，托福106，GRE330"
芝加哥大学公共政策硕士offer一枚,"加本top3, 金融, 大四，GPA3.52，GRE330"
波士顿大学法学硕士,"上海海事大学, 海商法, 大四，GPA3.44，雅思7"
密歇根大学安娜堡分校公共政策学硕士,"广州大学, 国贸, 已毕业，GPA3.15，雅思6.5"
南加州大学传播管理硕士offer一枚,"纽约大学, Global Liberal Studies, 已毕业，GPA3.61"
南加州大学法学硕士,"上海海事大学, 海商法, 大四，GPA3.44，雅思7"
圣路易斯华盛顿大学社会工作硕士offer一枚,"山东大学, 西班牙语, 大四，GPA86.11，雅思7"
宾夕法尼亚大学对外英语教育学硕士offer一枚,"纽约州立大学宾汉姆顿分校, 语言学, 大四，GPA3.77"
纽约大学对外英语教育学硕士offer一枚,"纽约州立大学宾汉姆顿分校, 语言学, 大四，GPA3.77"
哥伦比亚大学对外英语教学文学硕士offer一枚,"纽约州立大学宾汉姆顿分校, 语言学, 大四，GPA3.77"
约翰霍普金斯大学教育科学硕士 - 国际教学和全球领导力队列offer一枚,"纽约州立大学宾汉姆顿分校, 语言学, 大四，GPA3.77"
西北大学法学硕士,"加州大学圣地亚哥分校, 应用数学, 已毕业，GPA3.56，GRE328"
佐治亚理工学院音乐技术理学硕士,"复旦大学, 数据科学与大数据技术, 大四，GPA3.56，托福104，GRE330"
波士顿大学对外英语教育学硕士offer一枚,"纽约州立大学宾汉姆顿分校, 语言学, 大四，GPA3.77"
宾夕法尼亚大学国际公共管理硕士,"复旦大学, 汉语言文学, 大四，GPA3.52，雅思7.5"
南加州大学公共管理硕士offer一枚,"广东外语外贸大学, 物流管理, 大四，GPA3.13，托福100，GMAT650"
波士顿大学新兴媒体研究硕士offer一枚,"北京科技大学, 德语语言文学, 大四，GPA87.5，雅思7，GRE322"
南加州大学数字社交媒体硕士offer一枚,"北京科技大学, 德语语言文学, 大四，GPA87.5，雅思7，GRE322"
波士顿大学新兴媒体研究硕士offer一枚,"安徽师范大学, 英美文学+传媒, 大四，GPA3.6，托福98，GRE323"
雪城大学艺术新闻文学硕士offer一枚,"北京科技大学, 德语语言文学, 大四，GPA87.5，雅思7，GRE322"
雪城大学新媒体管理硕士offer一枚,"安徽师范大学, 英美文学+传媒, 大四，GPA3.6，托福98，GRE323"
