school,applicant
卡迪夫大学国际经济学、银行与金融理学硕士,"郑州航空工业管理学院, 经济学, 三年以上工作经验，GPA76.01，无"
格拉斯哥大学信息管理与保存理学硕士,"华东师范大学, 信息管理与信息系统, 已毕业，GPA81.52，无"
剑桥大学经济学哲学硕士,"中央财经大学, 国际经济与贸易（国际贸易/金融风险管理方向）, 大四，GPA91.72，雅思:8(L:9/R:9/W:7/S:6.5)，GRE:335"
伦敦大学国王学院金融学（资产定价）理学硕士,"中国海洋大学, 金融学, 大四，GPA97.93，无"
南安普顿大学会计与管理理学硕士,"湖南农业大学, 金融学, 大四，GPA81.2，暂无"
曼彻斯特大学定量金融学理学硕士,"英属哥伦比亚大学, 数学, 大四，GPA77，/"
圣安德鲁斯大学管理文学硕士,"新疆大学, 酒店管理, 大四，GPA86.34，暂无"
伯明翰大学管理学理学硕士（战略、运营与组织领导力和改变）,"上海财经大学, 财务管理, 已毕业，GPA80，雅思:7(L:7.5/R:7.5/W:6/S:6.5)，GRE:318"
兰卡斯特大学人力资源与咨询文学硕士,"天津农学院, 英语, 已毕业，GPA84.5，无"
利兹大学可持续性与商业理学硕士,"上海建桥学院, 国际经济与贸易, 已毕业，GPA85.78，无"
华威大学供应链与物流管理理学硕士,"东北师范大学, 物流管理, 已毕业，GPA86.85，托福106，GRE334"
爱丁堡大学金融、科技与政策理学硕士,"西南财经大学, 保险学, 大四，GPA3.7，雅思7.0，无"
爱丁堡大学金融、科技与政策理学硕士,"滑铁卢大学, 金融分析与风险管理, 大四，GPA87，/"
伯明翰大学营销理学硕士,"华东理工大学, 市场营销, 大四，GPA83.52，无"
利兹大学可持续性与咨询理学硕士,"上海杉达学院, 行政管理, 大四，GPA80，雅思:6.5(L:7/R:6/W:5.5/S:6.5)"
华威大学创新与创业理学硕士,"苏州大学应用技术学院, 财务管理, 三年以上工作经验，GPA82.9，托福110"
伦敦大学玛丽皇后学院国际商务理学硕士,"兰州理工大学, 会计学, 已毕业，GPA82.29，待考"
诺丁汉大学物流与供应链管理理学硕士,"吉林大学, 物流管理, 大四，GPA82.93， "
纽卡斯尔大学数字商务（电子营销）理学硕士,"山东财经大学燕山学院, 信息管理与信息系统, 大四，GPA87.81，无"
诺丁汉大学银行与金融理学硕士,"香港恒生学院, 金融与银行学, 大四，GPA3.32，无"
格拉斯哥大学国际金融硕士,"西南财经大学, 金融学（金融与人工智能实验班）, 大四，GPA3.3，雅思6.5"
伦敦大学学院管理学理学硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
伦敦大学金史密斯学院创意文化创业文学硕士（媒体与传播）,"上海大学, 广播电视编导, 三年以上工作经验，GPA3，暂无"
曼彻斯特大学精算学理学硕士,"同济大学, 金融学, 已毕业，GPA87.03，雅思:7.0(L:7.0/R:7.5/W:6.5/S:6.5)，GMAT:760"
纽卡斯尔大学银行与金融理学硕士,"珠海科技学院, 金融学, 大四，GPA88，雅思6.0"
格拉斯哥大学管理理学硕士,"华东政法大学, 行政管理, 大四，GPA86.19，无"
诺丁汉大学信息系统与经营管理理学硕士,"华东师范大学, 信息管理与信息系统, 已毕业，GPA81.52，无"
布里斯托大学经济学理学硕士,"山东财经大学, 金融工程, 两年工作经验，GPA86.54，雅思6"
曼彻斯特大学管理与信息系统：改变和发展理学硕士,"上海海洋大学, 信息管理与信息系统(合作办学), 大四，GPA87.02，雅思6.0"
阿伯丁大学国际商务管理理学硕士,"华北科技学院, 秘书学, 已毕业，GPA2.94，无"
南安普顿大学市场营销分析理学硕士,"广东外语外贸大学, 市场营销, 大四，GPA88，无"
阿伯丁大学国际商务与金融理学硕士,"天津科技大学, 服装与服饰设计, 大四，GPA76，无"
阿伯丁大学国际商务管理理学硕士,"天津科技大学, 服装与服饰设计, 大四，GPA76，无"
南安普顿大学会计与管理理学硕士,"上海大学, 会计学, 大四，GPA3.28，雅思:7.5(L:8.0/R:8.0/W:6.5/S:6.5)"
南安普顿大学金融与经济理学硕士,"西南财经大学, 金融学（金融与人工智能实验班）, 大四，GPA3.3，雅思6.5"
南安普顿大学商业策略与创新管理理学硕士,"深圳大学, 国际经济与贸易, 大四，GPA81.6，雅思6.5"
伯明翰大学商业分析理学硕士,"青海大学, 财务管理, 两年工作经验，GPA3.54，暂无"
华威大学国际商务理学硕士,"西安交通大学, 社会学, 已毕业，GPA80.45，雅思6.5"
格拉斯哥大学金融经济学理学硕士,"首都经济贸易大学, 金融学, 已毕业，GPA90，/"
南安普顿大学商业分析与管理科学理学硕士,"华威大学, 计算机系统工程, 大四，GPA60.4，免"
利兹大学可持续性与商业理学硕士,"华东政法大学, 国际经济与贸易, 三年以上工作经验，GPA81.23，雅思6.5"
利兹大学可持续性与咨询理学硕士,"大连海洋大学, 经济与金融, 已毕业，GPA3.45，雅思:6.5，GRE:309"
伦敦大学国王学院金融学（资产定价）理学硕士,"中南财经政法大学, 金融学, 大四，GPA91.79，托福101，GRE322"
利兹大学国际商务理学硕士,"郑州大学, 电子商务, 大四，GPA80，无"
伦敦大学玛丽皇后学院会计与管理理学硕士,"北京师范大学珠海分校, 会计学, 大四，GPA81，暂无"
利兹大学管理咨询理学硕士,"中央财经大学, 日语(财经日语方向), 大四，GPA83.88，暂无"
伦敦大学学院金融技术理学硕士,"都柏林圣三一大学, 计算机, 大四，GPA74.33，无"
华威大学国际商务理学硕士,"华威大学, Accounting and Finance, 大四，GPA65，/"
利兹大学国际商务理学硕士,"海南大学, 审计学, 已毕业，GPA82.76，雅思6.5"
利兹大学国际商务理学硕士,"上海财经大学, 财务管理, 已毕业，GPA80，雅思:7.0(5.5)，GRE:318"
利兹大学商业分析和决策科学理学硕士,"青海大学, 财务管理, 两年工作经验，GPA3.54，暂无"
利兹大学管理学理学硕士,"广东外语外贸大学, 人力资源管理, 已毕业，GPA3.52，雅思7"
曼彻斯特大学发展金融学理学硕士,"苏州大学, 金融学, 大四，GPA3.9，托福:106(L:30/R:30/W:28/S:18)，GRE:320"
曼彻斯特大学政治经济学文学硕士,"苏州大学, 金融学, 大四，GPA3.9，托福:106(L:30/R:30/W:28/S:18)，GRE:320"
利兹大学人力资源管理文学硕士,"内蒙古大学, 财务管理, 大四，GPA83，雅思:6.5(L:6.5/R:7.0/W:6.0/S:6.0)"
格拉斯哥大学国际会计与财务管理会计硕士,"北京理工大学, 会计学, 三年工作经验，GPA82.5，雅思6.5"
利兹大学管理咨询理学硕士,"上海理工大学, 英语（中美合作）, 大四，GPA85.1，无"
伯明翰大学公共管理硕士（人力资源方向）,"常州工学院, 商务英语, 大四，GPA86.38，无"
布里斯托大学经济学理学硕士,"首都经济贸易大学, 金融学(国际金融英文班), 大四，GPA89.16，无"
曼彻斯特大学经济学文学硕士,"中央财经大学, 经济学, 一年工作经验，GPA86.8，暂无"
布里斯托大学管理学理学硕士（国际业务 ）,"哈尔滨工业大学, 俄语, 大四，GPA80.18，无"
南安普顿大学会计与管理理学硕士,"澳门科技大学, 酒店管理, 已毕业，GPA3.35，暂无"
曼彻斯特大学政治经济学文学硕士,"东北财经大学, 工商管理, 大四，GPA89.75，雅思6.5"
伦敦政治经济学院经济学理学硕士,"北京工业大学, 金融学（中外合作办学）, 大四，GPA3.87，雅思7，GRE326"
曼彻斯特大学经济学文学硕士,"吉林大学, 经济学, 大四，GPA89.1，雅思6.5"
曼彻斯特大学经济学文学硕士,"华东师范大学, 已毕业，GPA86.67，雅思7.5，GRE317"
埃克塞特大学金融技术理学硕士,"河北经贸大学, 金融工程, 大四，GPA82，无"
伦敦大学国王学院银行与金融理学硕士,"中南财经政法大学, 金融学, 大四，GPA91.79，托福101，GRE322"
南安普顿大学国际银行与金融研究理学硕士,"武汉科技大学, 投资学, 大四，GPA83，暂无"
伯明翰大学管理学理学硕士：运营方向,"东北财经大学, 工商管理, 大四，GPA86，暂无"
曼彻斯特大学定量金融学理学硕士,"中央财经大学, 金融学, 大四，GPA87.89，雅思7.0，GMAT730"
曼彻斯特大学经济学理学硕士,"北京林业大学, 国际经济与贸易, 大四，GPA90.89，雅思7.5，GRE318"
曼彻斯特大学数字营销理学硕士,"中山大学, 经济学, 一年工作经验，GPA87，雅思7.5"
南安普顿大学国际管理理学硕士,"上海对外经贸大学, 旅游管理, 已毕业，GPA3.81，暂无"
曼彻斯特大学政治经济学文学硕士,"北京邮电大学, 公共事业管理, 大四，GPA3.65，雅思7"
南安普顿大学国际管理理学硕士,"北京邮电大学, 国际经济与贸易, 大四，GPA86.09，无"
南安普顿大学商业分析与管理科学理学硕士,"青海大学, 财务管理, 两年工作经验，GPA3.54，暂无"
曼彻斯特大学经济学文学硕士,"江南大学, 金融学, 大四，GPA89，雅思7"
布里斯托大学金融与投资理学硕士,"江南大学, 金融学, 大四，GPA89，雅思7"
华威大学市场营销与战略理学硕士,"中国人民大学, 市场营销, 大四，GPA3.3，无"
南安普顿大学商业策略与创新管理理学硕士,"郑州大学, 电子商务, 大四，GPA80，无"
伦敦大学玛丽皇后学院管理学理学硕士,"中国石油大学（华东）, 船舶与海洋工程, 三年工作经验，GPA76，雅思7"
格拉斯哥大学金融经济学理学硕士,"合肥工业大学, 国际经济与贸易, 已毕业，GPA85.04，雅思6"
南安普顿大学经济学理学硕士,"犹他州立大学, 国际经济, 大四，GPA88，雅思6.5"
南安普顿大学会计与金融理学硕士,"南京审计大学, 审计学（ACCA）, 两年工作经验，GPA83.4，无"
谢菲尔德大学东亚商务理学硕士,"中央财经大学, 精算, 已毕业，GPA77.62，无"
萨里大学战略酒店管理理学硕士,"University of central Flrorida, 酒店管理, 大四，GPA2.8，无"
萨里大学国际酒店管理理学硕士,"University of central Flrorida, 酒店管理, 大四，GPA2.8，无"
萨里大学国际会展管理理学硕士,"University of central Flrorida, 酒店管理, 大四，GPA77"
诺丁汉大学市场营销理学硕士,"上海应用技术大学, 市场营销, 大四，GPA85，无"
华威大学国际贸易、策略与运营理学硕士,"对外经济贸易大学, 商务英语, 三年工作经验，GPA84.45，雅思：6.0"
阿伯丁大学营销管理理学硕士,"皖江工学院, 国际经济与贸易, 一年工作经验，GPA75.19，暂无"
萨塞克斯大学国际管理理学硕士,"天津科技大学, 服装与服饰设计, 大四，GPA76，无"
曼彻斯特大学发展经济学与政策理学硕士,"苏州大学, 金融学, 大四，GPA3.9，托福:106(L:30/R:30/W:28/S:18)，GRE:320"
约克大学金融学理学硕士,"珠海科技学院, 金融学, 大四，GPA88，雅思6.0"
格拉斯哥大学国际战略营销理学硕士,"华东理工大学, 市场营销, 大四，GPA83.52，无"
南安普顿大学金融与经济理学硕士,"厦门大学, 金融学, 已毕业，GPA3.18，雅思6.5"
格拉斯哥大学国际会计与财务管理会计硕士,"江苏大学, 会计学, 已毕业，GPA87.3，雅思6.5"
利物浦大学管理学硕士,"华北科技学院, 秘书学, 已毕业，GPA2.94，无"
格拉斯哥大学国际金融硕士,"上海理工大学, 英语（中美合作）, 大四，GPA85.1，无"
南安普顿大学经济学理学硕士,"北京工业大学, 经济统计学, 已毕业，GPA86.21，暂无"
南安普顿大学金融与经济理学硕士,"首都经济贸易大学, 金融学(国际金融英文班), 大四，GPA89.16，无"
格拉斯哥大学金融和管理理学硕士,"澳门科技大学, 酒店管理, 已毕业，GPA3.35，暂无"
爱丁堡大学经济学理学硕士,"首都经济贸易大学, 金融学, 已毕业，GPA90，/"
格拉斯哥大学管理理学硕士,"中央财经大学, 日语(财经日语方向), 大四，GPA83.88，暂无"
格拉斯哥大学企业管治和问责理学硕士,"中央财经大学, 日语(财经日语方向), 大四，GPA83.88，暂无"
格拉斯哥大学管理理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无"
格拉斯哥大学金融风险管理理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无"
布里斯托大学管理学理学硕士（国际业务 ）,"西南财经大学, 金融学（双语实验班）, 大四，GPA86.09，雅思:7.5(L:8.0/R:8.5/W:6.5/S:6.0)"
帝国理工学院战略营销理学硕士,"香港中文大学（深圳）, 市场营销, 大四，GPA3.6，托福106，GMAT680"
华威大学创新与创业理学硕士,"北京化工大学, 产品设计, 已毕业，GPA84.79，PTE88"
帝国理工学院经济学与商业战略理学硕士,"格拉斯哥, 经济学, 大四，GPA3.81，免"
格拉斯哥大学金融经济学理学硕士,"澳门科技大学, 应用经济学, 已毕业，GPA81，雅思:6(L:5.5/R:6.5/W:5.5/S:5.5)"
南安普顿大学国际管理理学硕士,"海南大学, 审计学, 已毕业，GPA82.76，雅思6.5"
南安普顿大学国际管理理学硕士,"华东政法大学, 国际经济与贸易, 三年以上工作经验，GPA81.23，雅思6.5"
华威大学经济学与国际金融经济学理学硕士,"南京信息工程大学, 国际经济与贸易（中外合作办学）, 大四，GPA85，无"
利物浦大学运营和供应链管理理学硕士,"山东财经大学燕山学院, 信息管理与信息系统, 大四，GPA87.81，无"
南安普顿大学工商管理硕士,"上海大学, 汉语国际教育, 三年以上工作经验，GPA78，无"
华威大学经济学与国际金融经济学理学硕士,"中央财经大学, 金融学, 大四，GPA87.89，雅思7.0，GMAT730"
埃克塞特大学创业与创新管理理学硕士,"泰国博仁大学, 国际经济与贸易, 大四，GPA3.24，雅思6.5"
谢菲尔德大学商务金融与经济理学硕士,"武汉纺织大学, 会计学, 已毕业，GPA85.57，雅思6.5"
谢菲尔德大学图书馆学文学硕士,"隆德大学, 经济与社会, 大四，GPA78，暂无"
布里斯托大学管理学理学硕士,"北京邮电大学, 国际经济与贸易, 大四，GPA86.09，无"
杜伦大学管理学理学硕士,"澳门科技大学, 酒店管理, 已毕业，GPA3.35，暂无"
格拉斯哥大学国际会计与财务管理会计硕士,"东北财经大学, 工商管理, 大四，GPA86，暂无"
伯明翰大学金融经济学理学硕士,"山东财经大学, 法语, 三年以上工作经验，GPA2.59，暂无"
谢菲尔德大学房地产规划与发展文学硕士,"广州大学, 其它, 三年以上工作经验，GPA83.28，雅思6.0"
纽卡斯尔大学银行与金融理学硕士,"上海大学, 经济学, 一年工作经验，GPA2.81，雅思:6.5(L:6.5/R:8.0/W:5.5/S:5.5)"
伦敦大学学院比较经济学与政策文学硕士,"北京工业大学, 金融学（中外合作办学）, 大四，GPA3.87，雅思7，GRE326"
格拉斯哥大学国际金融硕士,"中国人民大学, 金融学, 大四，GPA81.39，雅思:7(L:7.5/R:8.5/W:6.5/S:6)"
谢菲尔德大学国际管理与市场营销理学硕士,"兰州城市学院, 英语, 已毕业，GPA2.09，无"
埃克塞特大学市场营销理学硕士,"兰州城市学院, 英语, 已毕业，GPA2.09，无"
南安普顿大学经济学理学硕士,"西南财经大学, 数学与应用数学, 已毕业，GPA82，无"
南安普顿大学会计与管理理学硕士,"东北财经大学, 工商管理, 大四，GPA86，暂无"
南安普顿大学金融与经济理学硕士,"北京外国语大学, 金融学, 大四，GPA83.67，雅思7"
格拉斯哥大学管理理学硕士,"澳门科技大学, 酒店管理, 已毕业，GPA3.35，暂无"
埃克塞特大学商业分析理学硕士,"隆德大学, 经济与社会, 大四，GPA78，暂无"
伦敦政治经济学院管理与战略理学硕士,"中国人民大学（苏州）, 国民经济管理, 大四，GPA89，雅思7.5，GMAT709"
南安普顿大学金融与经济理学硕士,"合肥工业大学, 国际经济与贸易, 已毕业，GPA85.04，雅思6"
南安普顿大学风险管理理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无"
卡迪夫大学商业管理理学硕士,"华北科技学院, 秘书学, 已毕业，GPA2.94，无"
华威大学供应链与物流管理理学硕士,"中国海洋大学, 物流管理, 大四，GPA81.45，雅思:6.0(L:6.5/R:6.5/W:6.0/S:5.5)"
利物浦大学市场营销理学硕士,"兰州城市学院, 英语, 已毕业，GPA2.09，无"
伦敦政治经济学院风险管理定量方法理学硕士,"滑铁卢大学, 金融分析与风险管理, 大四，GPA87，/"
约克大学全球营销理学硕士,"湖南科技大学, 环境设计, 已毕业，GPA82.32，暂无"
伦敦政治经济学院人力资源与组织理学硕士,"McMaster University, 人力资源, 大四，GPA85，无"
兰卡斯特大学人力资源管理理学硕士,"天津商业大学, 土地资源管理, 大四，GPA3.31，无"
