school,applicant
利兹大学结构工程工学硕士,"长安大学, 道路桥梁与渡河工程, 一年工作经验，GPA77.61，无"
伦敦大学学院集成机器学习系统理学硕士,"吉林大学, 电子科学与技术, 大四，GPA90.18"
布里斯托大学机器人科学理学硕士,"北京林业大学, 电气工程及其自动化, 大四，GPA86.32， 6.0"
华威大学网络安全工程理学硕士,"中国地质大学（武汉）, 计算机科学与技术, 已毕业，GPA3.4，雅思7"
圣安德鲁斯大学人机互动理学硕士,"上海交通大学, 传播学, 已毕业，GPA83.26，NA"
谢菲尔德大学数据通信工程理学硕士,"上海大学, 电子信息工程, 三年工作经验，GPA84.9，雅思6"
南安普顿大学光学工程理学硕士,"南京工业大学, 光电信息, 大四，GPA83，无"
华威大学网络安全工程理学硕士,"北京邮电大学, 信息安全, 大四，GPA85.67，无"
谢菲尔德大学电子与电气工程理学硕士,"合肥工业大学, 通信工程, 大四，GPA3.33，雅思6.0"
杜伦大学电子工程理学硕士,"上海大学, 电子信息工程, 三年工作经验，GPA84.9，雅思6"
格拉斯哥大学信息技术理学硕士,"西北农林科技大学, 食品质量与安全, 已毕业，GPA83，无"
南安普顿大学项目管理理学硕士,"北京林业大学, 土木工程, 已毕业，GPA84.96， "
爱丁堡大学高性能计算理学硕士,"同济大学, 数据科学与大数据技术, 大四，GPA90.47，雅思7，GRE320"
伯明翰大学铁路管理与工程理学硕士,"南京林业大学, 交通工程, 大四，GPA78.35，无"
爱丁堡大学电力工程理学硕士,"重庆大学, 电气工程及其自动化（中外合作办学）, 大四，GPA86.92，托福:83(L:19/R:23/W:22/S:19)"
南安普顿大学机械电子学（高级机械工程科学）理学硕士,"中北大学, 机械设计制造及其自动化, 已毕业，GPA84.4，暂无"
华威大学方案和项目管理理学硕士,"上海大学, 包装工程, 已毕业，GPA3.07，无"
剑桥大学机器学习与机器智能哲学硕士,"西安交通大学, 工业设计, 大四，GPA3.81，雅思8，GRE333"
曼彻斯特大学通信与信号处理理学硕士,"中国民航大学, 电子信息工程, 大四，GPA86.95，雅思:6.5(L:7/R:6.5/W:5.5/S:6)"
利兹大学工程项目管理工学硕士,"北京建筑大学, 工程造价, 大四，GPA88.5， "
帝国理工学院通用结构工程理学硕士,"北京工业大学, 土木工程, 大四，GPA88.66，雅思6/5.5"
伦敦大学学院软件系统工程理学硕士,"同济大学, 软件工程, 大四，GPA90.68，托福101"
利兹大学工程项目管理工学硕士,"内蒙古科技大学, 工程管理, 已毕业，GPA85.05，无"
利兹大学国际建设管理与工程工学硕士,"内蒙古科技大学, 工程管理, 已毕业，GPA85.05，无"
曼彻斯特大学通信与信号处理理学硕士,"中山大学, 物理学, 大四，GPA83，雅思7.5"
南安普顿大学海事工程科学（海洋能源与海洋工程）理学硕士,"大连理工大学, 船舶与海洋工程, 已毕业，GPA78.3，无"
南安普顿大学项目管理理学硕士,"上海大学, 通信工程, 三年以上工作经验，GPA2.92，雅思6"
格拉斯哥大学传感器和成像系统理学硕士,"电子科技大学, 通信工程, 大四，GPA76.8，雅思6"
利兹大学高级计算机科学理学硕士,"University of Birmingham, 计算机科学, 大四，GPA67.4， "
伯明翰大学大气污染管理与控制理学硕士,"西北农林科技大学, 环境科学, 大四，GPA2.52，无"
曼彻斯特大学通信与信号处理理学硕士,"武汉理工大学, 电子信息科学与技术, 大四，GPA82.02，无"
南安普顿大学可持续能源科技理学硕士,"中国民航大学, 油气储运工程, 已毕业，GPA84.77，无"
伦敦大学国王学院工程与管理理学硕士,"苏州大学, 新能源材料与器件(中外合作), 两年工作经验，GPA87，雅思6.5（6）"
伦敦大学国王学院移动通信与个人通信理学硕士,"上海大学, 电子信息工程, 三年工作经验，GPA84.9，雅思6"
纽卡斯尔大学高级计算机科学理学硕士,"吉林大学珠海学院, 计算机科学与技术, 已毕业，GPA83.94，NA"
伦敦大学国王学院机器人学理学硕士,"哈尔滨工程大学, 自动化, 大四，GPA89，雅思7"
伦敦大学学院医学物理和工程理学硕士,"北京航空航天大学, 生物医学工程, 大四，GPA85.5，雅思7.0"
曼彻斯特大学高级控制与系统工程拓展研究理学硕士,"北京林业大学, 电气工程及其自动化, 大四，GPA86.32， 6.0"
南安普顿大学海事工程科学（造船学）理学硕士,"大连理工大学, 船舶与海洋工程, 已毕业，GPA78.3，无"
埃克塞特大学商业计算机科学理学硕士,"吕梁学院, 软件工程, 已毕业，GPA81，无"
埃克塞特大学高等计算机科学理学硕士,"吕梁学院, 软件工程, 已毕业，GPA81.7，无"
伦敦大学学院城市空间科学理学硕士,"中国地质大学（武汉）, 地理信息科学, 大四，GPA85.45，无"
曼彻斯特大学商业项目管理理学硕士,"暨南大学, 国际商务, 大四，GPA90.9，雅思7"
利兹大学工程技术与商业管理工学硕士,"上海大学, 通信工程, 三年以上工作经验，GPA2.92，雅思6"
谢菲尔德大学无线通信系统理学硕士,"哈尔滨工程大学, 通信工程, 一年工作经验，GPA78.29，无"
谢菲尔德大学环境与能源工程理学硕士,"中国民航大学, 油气储运工程, 已毕业，GPA84.77，无"
曼彻斯特大学发展项目管理与实施理学硕士,"武汉理工大学, 工业工程, 大四，GPA87.74，雅思7"
格拉斯哥大学城市交通理学硕士,"上海海事大学, 交通工程, 大四，GPA81，无"
曼彻斯特大学发展项目管理与实施理学硕士,"成都理工大学, 财务管理, 大四，GPA87.7，雅思:6.5(L:7/R:7/W:6.5/S:6)"
曼彻斯特大学项目管理理学硕士,"苏州大学, 新能源材料与器件(中外合作), 两年工作经验，GPA87，雅思6.5（6）"
谢菲尔德大学数据通信工程理学硕士,"华南农业大学, 通信工程, 已毕业，GPA81.80，NA"
华威大学方案和项目管理理学硕士,"上海大学, 通信工程, 三年以上工作经验，GPA2.92，雅思6"
帝国理工学院人类与生物机器人理学硕士,"哈尔滨工业大学（深圳）, 自动化, 大四，GPA91.86，雅思7"
南安普顿大学系统、控制与信号处理理学硕士,"北京工业大学, 交通工程, 大四，GPA80，雅思6.5"
南安普顿大学交通运输规划与工程理学硕士,"中国民航大学, 油气储运工程, 已毕业，GPA84.77，无"
利兹大学高级计算机科学理学硕士,"浙江科技学院, 软件工程, 大四，GPA83，雅思5.5"
谢菲尔德大学电子与电气工程理学硕士,"南京邮电大学, 电子信息工程, 大四，GPA83.49，无"
曼彻斯特大学机械工程设计理学硕士,"河海大学, 工程力学, 大四，GPA83.04，暂无"
南安普顿大学运输规划与工程（运营）理学硕士,"南京林业大学, 交通工程, 大四，GPA78.35，无"
南安普顿大学运输规划与工程（行为）理学硕士,"南京林业大学, 交通工程, 大四，GPA78.35，无"
纽卡斯尔大学航运与物流理学硕士,"上海海事大学, 交通工程, 大四，GPA81，无"
伦敦大学学院环境系统工程理学硕士,"北京林业大学, 水土保持与荒漠化防治, 已毕业，GPA85.2，雅思6.5"
利物浦大学高级计算机科学（加实习）理学硕士,"华东交通大学, 软件工程, 三年以上工作经验，GPA75.78，NA"
诺丁汉大学计算机科学/计算机科学（人工智能）理学硕士,"吉林大学珠海学院, 计算机科学与技术, 已毕业，GPA83.94，NA"
谢菲尔德大学机器人学理学硕士,"中北大学, 机械设计制造及其自动化, 已毕业，GPA84.4，暂无"
伦敦大学学院集成机器学习系统理学硕士,"伦敦大学国王学院, 电子电气, 大四，GPA3.83，免语言，GRE332"
华威大学方案和项目管理理学硕士,"河海大学, 工程力学, 大四，GPA83.04，暂无"
诺丁汉大学电子通信与计算机工程理学硕士,"华南农业大学, 通信工程, 已毕业，GPA81.80，NA"
曼彻斯特大学高级控制与系统工程理学硕士,"北京林业大学, 电气工程及其自动化, 大四，GPA86.32， "
纽卡斯尔大学自动化与控制理学硕士,"华南理工大学, 智能科学与技术, 大四，GPA77.96，雅思6"
华威大学计算机科学理学硕士,"北京工业大学北京-都柏林国际学院, 软件工程, 大四，GPA3.43，雅思7"
格拉斯哥大学电子电气工程理学硕士,"华北电力大学, 电气工程及其自动化, 两年工作经验，GPA81.5，雅思6.5（5.5）"
格拉斯哥大学土木工程管理理学硕士,"北京建筑大学, 工程造价, 大四，GPA84，暂无"
华威大学电子商务管理理学硕士,"北京邮电大学, 电子商务及法律, 大四，GPA87，雅思7.5"
伦敦大学学院高级材料科学（能源存储）理学硕士,"北京航空航天大学, 材料科学与工程, 大四，GPA85.52，雅思6.5"
曼彻斯特大学高级控制与系统工程理学硕士,"华南理工大学, 一年工作经验，GPA83，雅思7.5"
阿斯顿大学人工智能理学硕士,"天津城建大学, 地理信息科学, 已毕业，GPA72，NA"
谢菲尔德大学先进控制与系统工程理学硕士,"北京工业大学, 交通工程, 大四，GPA80，雅思6.5"
卡迪夫大学高级计算机科学理学硕士（含实习）,"华东交通大学, 软件工程, 三年以上工作经验，GPA75.78，NA"
格拉斯哥大学机器人与人工智能理学硕士,"西北大学, 软件工程, 三年以上工作经验，GPA81.8，无"
杜伦大学电子工程理学硕士,"南京邮电大学, 电子信息工程, 大四，GPA83.49，无"
谢菲尔德大学无线通信系统理学硕士,"武汉轻工大学, 电子信息科学与技术, 一年工作经验，GPA83.51，NA"
谢菲尔德大学电子与电气工程理学硕士,"北京交通大学, 轨道交通信号与控制, 已毕业，GPA2.75，无"
谢菲尔德大学半导体光子学与电子学工程理学硕士,"武汉轻工大学, 电子信息科学与技术, 一年工作经验，GPA83.51，NA"
伦敦大学玛丽皇后学院人工智能理学硕士,"华南理工大学, 智能科学与技术, 大四，GPA77.96，雅思6"
利物浦大学计算机科学理学硕士,"天津城建大学, 地理信息科学, 已毕业，GPA72，NA"
利兹大学运输规划与工程工学硕士,"中国民航大学, 油气储运工程, 已毕业，GPA84.77，无"
曼彻斯特大学高级控制与系统工程理学硕士,"北京邮电大学, 机械工程（机器人试验班）, 已毕业，GPA88.06，雅思7，无"
格拉斯哥大学计算机科学理学硕士,"北京工业大学, 信息安全, 大四，GPA3.59，暂无"
格拉斯哥大学信息技术理学硕士,"江南大学, 应用化学, 大四，GPA88.86，雅思7"
格拉斯哥大学计算机科学理学硕士,"中国地质大学（武汉）, 计算机科学与技术, 已毕业，GPA3.4，雅思7"
格拉斯哥大学信息技术理学硕士,"西安交通大学, 核工程与核技术, 三年以上工作经验，GPA81.75，雅思7.5（6）"
伦敦大学国王学院城市信息学理学硕士,"中国地质大学（武汉）, 地理信息科学, 大四，GPA85.45，无"
伦敦大学国王学院城市信息学理学硕士,"华南农业大学, 测绘工程, 大四，GPA88.11，无"
伦敦大学学院机械工程理学硕士,"重庆大学, 机械设计制造及其自动化（中外合作办学）, 大四，GPA88，雅思6.5"
考文垂大学计算机科学理学硕士,"天津城建大学, 地理信息科学, 已毕业，GPA72，NA"
伦敦大学学院人工智能可持续发展理学硕士,"厦门大学马来西亚分校, 计算机科学与技术, 大四，GPA83.9，雅思:6.5(L:8.0/R:6.5/W:6.0/S:5.5)"
南安普顿大学系统、控制与信号处理理学硕士,"中国民航大学, 电子信息工程, 大四，GPA86.95，雅思:6.5(L:7/R:6.5/W:5.5/S:6)"
利兹大学运输规划与工程工学硕士,"南京林业大学, 交通工程, 大四，GPA78.35，无"
卡迪夫大学计算机学理学硕士,"华南农业大学, 通信工程, 已毕业，GPA81.80，NA"
华威大学高级机械工程理学硕士,"politecnico di torino, 汽车工程, 大四，GPA26.59，雅思8.5"
南安普顿大学人工智能理学硕士,"东南大学, 人工智能, 大四，GPA83.39，雅思7.5"
纽卡斯尔大学环境工程理学硕士,"西北农林科技大学, 环境科学, 大四，GPA2.52，无"
拉夫堡大学高级计算机科学理学硕士,"天津城建大学, 地理信息科学, 已毕业，GPA72，NA"
南安普顿大学运输规划与工程（基础设施）理学硕士,"上海海事大学, 交通工程, 大四，GPA81，无"
南安普顿大学土木工程理学硕士,"上海师范大学, 土木工程（中英合作）, 大四，GPA85，无"
南安普顿大学机械电子学（高级机械工程科学）理学硕士,"北京理工大学, 机械工程, 已毕业，GPA79，雅思6"
帝国理工学院环境技术理学硕士,"中国农业大学, 资源环境科学, 大四，GPA88，雅思:7.5(L:8.5/R:8/W:6.5/S:6.5)，GRE:328"
爱丁堡大学计算机科学理学硕士,"同济大学, 软件工程, 大四，GPA90.68，托福101"
谢菲尔德大学机器人学理学硕士,"中国石油大学（北京）, 计算机科学与技术, 大四，GPA85，雅思6.5"
纽卡斯尔大学可再生能源、企业与管理理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，暂无"
谢菲尔德大学无线通信系统理学硕士,"北京交通大学, 轨道交通信号与控制, 已毕业，GPA2.75，无"
纽卡斯尔大学电脑游戏工程理学硕士,"东莞理工学院, 计算机科学与技术（多媒体设计）, 大四，GPA85，暂无"
纽卡斯尔大学运输工程、规划与管理理学硕士,"上海海事大学, 交通工程, 大四，GPA81，无"
伦敦大学玛丽皇后学院高级材料科学与工程理学硕士,"华南理工大学, 材料成型及控制工程, 大四，GPA76.18，无"
爱丁堡大学信号处理与通讯理学硕士,"吉林大学, 大四，GPA3.71，无，无"
伯明翰大学土木工程理学硕士,"上海师范大学, 土木工程（中英合作）, 大四，GPA85，无"
帝国理工学院通用结构工程理学硕士,"武汉大学, 土木工程, 大四，GPA86.18，雅思:6.5(L:6/R:7.5/W:6/S:6)"
诺丁汉大学可持续能源工程理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，暂无"
曼彻斯特大学通信与信号处理理学硕士,"吉林大学, 通信工程, 大四，GPA83.17，雅思6"
纽卡斯尔大学云计算理学硕士,"中国石油大学（北京）, 计算机科学与技术, 大四，GPA85，雅思6.5"
曼彻斯特大学高级计算机科学：人工智能理学硕士,"北京邮电大学, 物联网工程, 大四，GPA88，雅思7.0"
南安普顿大学移动通信和智能网络理学硕士,"武汉理工大学, 电子信息科学与技术, 大四，GPA82.02，无"
纽卡斯尔大学自动化与控制理学硕士,"河海大学, 电气工程及其自动化, 大四，GPA76，雅思5.5"
帝国理工学院运输理学硕士,"苏州大学, 物流管理, 大四，GPA90.09，雅思:6.5(L:7.0/R:6.5/W:6.0/S:6.0)"
华威大学电子商务管理理学硕士,"北京邮电大学, 电子商务及法律, 大四，GPA81.3，雅思:6.5(L:6.5/R:6.5/W:6.0/S:6.0)"
华威大学方案和项目管理理学硕士,"东北林业大学, 工程管理（中外合作办学）, 已毕业，GPA83.33，雅思:7(L:8/R:7.5/W:5.5/S:6)"
杜伦大学土木工程理学硕士,"上海师范大学, 土木工程（中英合作）, 大四，GPA85，无"
曼彻斯特大学电力系统工程理学硕士,"武汉大学, 电气工程及其自动化, 已毕业，GPA83.6，无语言成绩"
利兹大学汽车工程工学硕士,"politecnico di torino, 汽车工程, 大四，GPA89，雅思8.5，GRE324"
帝国理工学院未来电网理学硕士,"重庆大学, 电气工程及其自动化（中外合作办学）, 大四，GPA86.92，托福83"
谢菲尔德大学环境与能源工程理学硕士,"西北农林科技大学, 环境科学, 大四，GPA2.52，无语言成绩"
谢菲尔德大学电子与电气工程理学硕士,"河海大学, 电气工程及其自动化, 大四，GPA76，雅思5.5"
南安普顿大学生物多样性与保护理学硕士,"长春师范大学, 生物科学, 大四，GPA3.7，无语言成绩"
伦敦大学学院医学机器人与人工智能理学硕士,"南开大学, 智能医学工程, 大四，GPA87.66，雅思7.5，GRE317"
爱丁堡大学数字化设计与制造理学硕士,"武汉理工大学, 工业工程, 大四，GPA87.74，雅思7.0"
曼彻斯特大学结构工程理学硕士,"上海师范大学, 土木工程（中英合作）, 大四，GPA85，无语言成绩"
利兹大学结构工程工学硕士,"上海师范大学, 土木工程（中英合作）, 大四，GPA85，无语言成绩"
利物浦大学项目管理理学硕士,"武汉生物工程学院, 生物技术, 已毕业，GPA81.7，无语言成绩"
南安普顿大学能源与可持续发展（能源、资源与气候变化）理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，无语言成绩"
伯明翰大学计算机科学理学硕士,"北京科技大学, 信息管理与信息系统, 大四，GPA85，无语言成绩"
伯明翰大学计算机科学理学硕士,"江南大学, 应用化学, 大四，GPA88.86，雅思7.0"
伯明翰大学人工智能与机器学习理学硕士,"西北大学, 软件工程, 三年以上工作经验，GPA81.8，无语言成绩"
伯明翰大学人工智能与机器学习理学硕士,"伯明翰, 计算机科学, 大四，GPA66，免语言成绩"
伯明翰大学人工智能与机器学习理学硕士,"西交利物浦大学, 信息与计算科学, 大四，GPA71.93，雅思6.5"
卡迪夫大学高级计算机科学理学硕士,"哈尔滨理工大学, 计算机科学与技术, 两年工作经验，GPA75.26，无语言成绩"
利兹大学能源与环境理学硕士,"西北农林科技大学, 环境科学, 大四，GPA2.52，无"
曼彻斯特大学高级工程材料理学硕士,"湖南大学, 材料科学与工程, 大四，GPA83.91，无语言成绩"
曼彻斯特大学纺织技术（工艺纺织品）理学硕士,"苏州大学, 纺织工程, 大四，GPA85，雅思7.0"
南安普顿大学系统、控制与信号处理理学硕士,"北京科技大学, 自动化, 大四，GPA3.4，托福81"
曼彻斯特大学项目管理理学硕士,"江苏大学, 会计, 已毕业，GPA90，雅思7.5"
南安普顿大学微电子系统设计理学硕士,"西安电子科技大学, 微电子科学与工程, 大四，GPA84.8，无语言成绩"
曼彻斯特大学高级控制与系统工程理学硕士,"西南大学, 自动化, 大四，GPA88，雅思6.5"
爱丁堡大学计算机科学理学硕士,"厦门大学马来西亚分校, 计算机科学与技术, 大四，GPA3.69，雅思6.5"
谢菲尔德大学先进控制与系统工程（工业管理）理学硕士,"北京科技大学, 自动化, 大四，GPA3.4，托福81"
曼彻斯特大学生物材料学理学硕士,"南京航空航天大学, 材料科学与工程, 大四，GPA81，无语言成绩"
南安普顿大学项目管理理学硕士,"苏州大学, 新能源材料与器件(中外合作), 两年工作经验，GPA87，雅思6.5"
谢菲尔德大学数据通信工程理学硕士,"太原理工大学, 软件工程, 已毕业，GPA2.8，无语言成绩"
伯明翰大学电力系统理学硕士,"华北电力大学, 电气工程及其自动化, 两年工作经验，GPA81.5，雅思6.5"
曼彻斯特大学商业项目管理理学硕士,"北京建筑大学, 工商管理, 大四，GPA91，雅思6.0"
曼彻斯特大学商业项目管理理学硕士,"首都经济贸易大学, 会计, 大四，GPA91，雅思7.0"
利兹大学环境工程与项目管理工学硕士,"西北农林科技大学, 环境科学, 大四，GPA2.52，无语言成绩"
曼彻斯特大学结构工程理学硕士,"吉林大学, 道路桥梁与渡河工程, 大四，GPA86.08，雅思6.0"
曼彻斯特大学环境治理理学硕士,"香港教育大学, 环境, 大四，GPA3.33，雅思7.0"
曼彻斯特大学商业项目管理理学硕士,"中南财经政法大学, 会计学, 大四，GPA87.66，雅思6.5"
杜伦大学电子与电气工程理学硕士,"西南石油大学, 电子信息工程, 大四，GPA3.04，无语言成绩"
埃克塞特大学工程商业管理理学硕士,"武汉生物工程学院, 生物技术 , 已毕业，GPA81.7，无语言成绩"
谢菲尔德大学高级机械工程理学硕士,"辽宁科技大学, 机械设计制造及其自动化, 大四，GPA83.8，托福98"
谢菲尔德大学环境变化与国际发展理学硕士,"华中农业大学, 地理信息科学, 大四，GPA80.78，雅思6.5"
利兹大学运输经济学理学硕士,"上海海事大学, 海事经济 , 大四，GPA86.59，无语言成绩"
南安普顿大学计算工程设计（高级机械工程科学）理学硕士,"河海大学, 工程力学, 大四，GPA83.04，无语言成绩"
利兹大学材料科学与工程理学硕士,"南京理工大学, 材料科学与工程, 已毕业，GPA2.61，雅思6.0"
谢菲尔德大学能源工程与工业管理理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，无语言成绩"
南安普顿大学机械电子学（高级机械工程科学）理学硕士,"南京航空航天大学, 交通运输（民航机务工程、民航维修工程）, 已毕业，GPA3.1，雅思6.0"
南安普顿大学海事工程科学（高级计算工程）理学硕士,"河海大学, 港口航道与海岸工程, 已毕业，GPA4.16，雅思6.5"
格拉斯哥大学可持续水环境理学硕士,"中国地质大学（武汉）, 环境科学与工程, 大四，GPA84.13，雅思6.5"
谢菲尔德大学环境与能源工程理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，无语言成绩"
利兹大学能源与环境理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，无语言成绩"
卡迪夫大学制造工程创新与管理理学硕士,"山东建筑大学, 工程管理, 一年工作经验，GPA78.47，无语言成绩"
华威大学方案和项目管理理学硕士,"成都理工大学, 财务管理, 大四，GPA87.7，雅思6.5"
利兹大学材料科学与工程理学硕士,"南京航空航天大学, 材料科学与工程, 大四，GPA81，无语言成绩"
曼彻斯特大学地理信息科学理学硕士,"中国地质大学（武汉）, 地理信息科学, 大四，GPA85.34，无语言成绩"
布里斯托大学计算机科学理学硕士,"北京邮电大学, 电子商务及法律, 大四，GPA81.3，雅思:6.5(L:6.5/R:6.5/W:6.0/S:6.0)"
诺丁汉大学计算机科学/计算机科学（人工智能）理学硕士,"江南大学, 应用化学, 大四，GPA84，雅思7.0"
华威大学方案和项目管理理学硕士,"苏州大学, 新能源材料与器件(中外合作), 两年工作经验，GPA87，雅思6.5"
萨里大学人工智能理学硕士,"西南民族大学, 计算机科学与技术, 三年以上工作经验，GPA77，无语言成绩"
南安普顿大学人工智能理学硕士,"西交利物浦大学, 信息与计算科学, 大四，GPA71.93，雅思6.5"
埃克塞特大学工程商业管理理学硕士,"山东建筑大学, 工程管理, 一年工作经验，GPA78.47，无语言成绩"
华威大学生物医学工程理学硕士,"北京航空航天大学, 生物医学工程, 大四，GPA79.59，无语言成绩"
谢菲尔德大学生物工程理学硕士,"北京航空航天大学, 生物医学工程, 大四，GPA79.59，无语言成绩"
谢菲尔德大学土木工程与管理理学硕士,"同济大学, 土木工程, 已毕业，GPA3.23，雅思7.0"
约克大学工程管理理学硕士,"山东建筑大学, 工程管理, 一年工作经验，GPA78.47，无语言成绩"
伯明翰大学高级工程管理：建筑工程管理理学硕士,"福州大学, 工程管理, 大四，GPA83.75，托福94"
华威大学高分子科学理学硕士,"南京航空航天大学, 材料科学与工程, 大四，GPA81，无语言成绩"
格拉斯哥大学生物医学科学理学硕士,"广州医科大学, 临床医学, 已毕业，GPA3.33，雅思7.5"
