school,applicant
华威大学生物技术、生物制造与商务管理理学硕士,"中国药科大学, 中药学, 两年工作经验，GPA78.7，无"
谢菲尔德大学生物科学理学硕士（生物科学）,"东北农业大学, 动物科学, 已毕业，GPA79.79，无"
利兹大学药物发现与开发理学硕士,"四川农业大学, 药学, 大四，GPA83.98，六级517"
帝国理工学院生态学、进化与保护理学硕士,"中国农业大学, 设施农业科学与工程, 大四，GPA3.56，雅思:6.5(L:6.5/R:6/W:6.5/S:6)"
伦敦大学国王学院理论物理学理学硕士,"南方科技大学, 物理学, 大四，GPA89.03，托福87"
华威大学数据可视化硕士,"华南农业大学, 测绘工程, 大四，GPA88.11，无"
伦敦大学国王学院物理学理学硕士,"沈阳化工大学, 应用物理学, 已毕业，GPA89，托福100 "
华威大学统计学理学硕士,"华东理工大学, 数学与应用数学, 大四，GPA89.17，雅思7（6）"
伦敦大学国王学院物理学理学硕士,"中山大学, 物理学, 大四，GPA83，雅思7.5"
利兹大学统计学理学硕士,"广东外语外贸大学, 经济统计学, 已毕业，GPA83.7，NA"
利兹大学金融统计与应用理学硕士,"北京信息科技大学, 应用统计学, 大四，GPA85.63，无"
伯明翰大学数学、运筹学、统计学与计量经济学理学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
爱丁堡大学生物多样性与植物分类学理学硕士,"长春师范大学, 生物科学, 大四，GPA3.7，无"
曼彻斯特大学健康数据科学理学硕士,"北京师范大学珠海分校, 应用统计学, 已毕业，GPA84，无"
华威大学生物技术、生物制造与商务管理理学硕士,"上海交通大学, 生物技术, 大四，GPA81.02，待考"
格拉斯哥大学生物技术理学硕士,"苏州科技大学, 生物工程, 大四，GPA81.79，无"
谢菲尔德大学药物发现科学理学硕士,"中国药科大学, 中药学, 两年工作经验，GPA78.7，无"
伦敦大学国王学院临床药理学理学硕士,"西安培华学院, 药学, 大四，GPA85.88，无"
纽卡斯尔大学数据科学（统计学）理学硕士,"江苏大学, 统计学, 已毕业，GPA82，雅思:6.5(L:7.5/R:6/W:6/S:6.5)"
利物浦大学数据科学与人工智能理学硕士,"华南农业大学, 通信工程, 已毕业，GPA81.80，NA"
南安普顿大学数据与决策分析理学硕士,"江苏大学, 统计学, 已毕业，GPA82，雅思:6.5(L:7.5/R:6/W:6/S:6.5)"
布里斯托大学工程数学理学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
伦敦大学国王学院药物分析、技术与生物制药理学硕士,"上海交通大学, 生物技术, 大四，GPA81.02，待考"
格拉斯哥大学统计学理学硕士,"中南大学, 数学与应用数学, 已毕业，GPA76，暂无"
格拉斯哥大学数据分析理学硕士,"中南大学, 数学与应用数学, 已毕业，GPA76，暂无"
曼彻斯特大学传染生物学理学硕士,"苏州科技大学, 生物工程, 大四，GPA81.79，无"
华威大学统计学理学硕士,"伦敦大学国王学院, 数统, 大四，GPA3.1，无"
伦敦大学学院健康数据科学理学硕士,"南开大学, 智能医学工程, 大四，GPA87.66，雅思7.5，GRE317"
卡迪夫大学运筹学与应用统计学理学硕士,"西交利物浦大学, 精算学, 大四，GPA47，无"
利兹大学物理学理学硕士,"沈阳化工大学, 应用物理学, 已毕业，GPA89，托福100"
利兹大学药物发现与开发理学硕士,"中国药科大学, 中药学, 两年工作经验，GPA78.7，无语言成绩"
利兹大学生物科学理学硕士,"长春师范大学, 生物科学, 大四，GPA3.7，无语言成绩"
曼彻斯特大学统计学理学硕士,"曼彻斯特大学, 数学与金融, 大四，GPA63.17，豁免"
贝尔法斯特女王大学动物行为与福利理学硕士,"东北石油大学, 石油工程, 已毕业，GPA81.26，无语言成绩"
曼彻斯特大学纯粹数学理学硕士,"吉林大学, 数学与应用数学, 大四，GPA88.29，雅思7.0"
杜伦大学数据科学硕士,"复旦大学, 文物与博物馆, 大四，GPA83.3，无语言成绩"
曼彻斯特大学统计学理学硕士,"北京林业大学, 统计, 大四，GPA89，雅思7.0，GRE318"
伯明翰大学数学、运筹学、统计学与计量经济学理学硕士,"首都经济贸易大学, 经济统计学, 三年以上工作经验，GPA81.36，无语言成绩"
格拉斯哥大学统计学理学硕士,"深圳北理莫斯科大学, 数学, 一年工作经验，GPA3.8，无语言成绩"
南安普顿大学应用统计学理学硕士,"首都经济贸易大学, 经济统计学, 三年以上工作经验，GPA81.36，无语言成绩"
伦敦大学国王学院数学理学硕士,"吉林大学, 数学与应用数学, 大四，GPA88.29，雅思7.0"
南安普顿大学运筹学理学硕士,"山东大学, 信息与计算科学, 已毕业，GPA3.92，雅思6.0"
谢菲尔德大学数据科学理学硕士,"诺丁汉大学, 计算机, 大四，GPA67，无语言成绩"
