school,applicant
南安普顿大学国际安全与风险理学硕士,"山东工商学院, 会计学, 大四，GPA83.93，无"
谢菲尔德大学东亚政治与传媒文学硕士,"北京体育大学, 公共事业管理, 一年工作经验，GPA83.38，暂无"
布里斯托大学对外英语教学理学硕士,"北京语言大学, 英语, 大四，GPA86.7，雅思6.5"
南安普顿大学国际商法与公司法法学硕士,"山东科技大学, 法学, 大四，GPA85，无"
伦敦大学学院对外英语教学文学硕士,"华东师范大学, 英语, 大四，GPA89.27，雅思7.5(L:8.0/R:8.0/W:7.0/S:6.0)"
南安普顿大学公共管理硕士,"兰州理工大学, 会计学, 已毕业，GPA82.29，待考"
伦敦大学学院教育文学硕士,"海南大学, 人文地理与城乡规划, 大四，GPA88.88，雅思:7(L:6/R:8/W:7/S:6.5)"
伦敦大学学院比较文学文学硕士,"中央民族大学, 翻译, 已毕业，GPA91，雅思:7(L:8/R:8/W:6.5/S:6)"
伦敦大学学院比较文学文学硕士,"东北大学, 英语, 已毕业，GPA89.84，雅思7.5"
利兹大学文化、创造力与企业创业文学硕士,"天津外国语大学, 俄语, 大四，GPA77，无"
谢菲尔德大学翻译研究文学硕士,"天津外国语大学, 商务英语, 已毕业，GPA86.61，暂无"
伦敦大学学院对外英语教学文学硕士,"华东师范大学, 英语, 大四，GPA89.85，雅思:7.5(L:8.5/R:8.5/W:7/S:6)"
莱斯特大学国际教育（专家方向）文学硕士,"上海海事大学, 电气工程, 大四，GPA73.81，雅思7.5"
利兹大学对外英语教学研究文学硕士,"广东技术师范大学, 英语, 大四，GPA3.61，雅思6.0"
利兹大学专业语言和跨文化研究文学硕士,"对外经济贸易大学, 财政学, 大四，GPA79.88，雅思:6.5(L:7.5/R:7/W:6/S:5.5)"
利兹大学专业语言和跨文化研究文学硕士,"中山大学, 新闻学, 三年工作经验，GPA3.7，雅思7.0"
爱丁堡大学全球健康政策理学硕士,"西安交通大学, 行政管理, 大四，GPA81.73，雅思:6.5(L:6.5/R:7/W:6/S:6)"
布里斯托大学中英翻译文学硕士,"北京师范大学-香港浸会大学联合国际学院, 翻译, 已毕业，GPA3.32，雅思7.0"
布里斯托大学国际法和国际关系法学硕士,"中南财经政法大学, 治安学, 已毕业，GPA83.7，无"
拉夫堡大学媒体和创意产业文学硕士,"assumption university, 数字媒体传播, 大四，GPA2.99，雅思7.5"
利兹大学国际商法法学硕士,"华东政法大学, 劳动与社会保障, 已毕业，GPA84.83，无"
利兹大学儿童研究文学硕士,"大连外国语大学, 汉语国际教育, 已毕业，GPA87.71，雅思6.5(L:6.5/R:7.0/W:6.0/S:5.5)"
曼彻斯特大学全球发展（全球化、贸易与工业）理学硕士,"海南大学, 审计学, 已毕业，GPA82.76，雅思6.5"
曼彻斯特大学国际教育（对外英语教学）文学硕士,"新疆大学, 英语, 已毕业，GPA88.8，雅思7"
布里斯托大学对外英语教学理学硕士,"新疆大学, 英语, 已毕业，GPA88.8，雅思7"
布里斯托大学劳动法与公司治理法学硕士,"西南政法大学, 法学, 已毕业，GPA84.6，无"
伯明翰大学对外英语教学教育理学硕士,"广东技术师范大学, 英语, 大四，GPA3.61，雅思6.0"
东安格利亚大学媒体、文化与社会文学硕士,"The University of Sunderland, 国际旅游及酒店管理, 三年工作经验，GPA54，无"
纽卡斯尔大学电影理论与实践文学硕士,"宁波财经学院, 表演, 大四，GPA83.06，无"
谢菲尔德大学国际关系与东亚文学硕士,"北京语言大学, 阿拉伯语, 大四，GPA86，雅思7.0"
华威大学国际政治经济文学硕士,"北京工业大学, 国际经济与贸易, 两年工作经验，GPA83.97，暂无"
曼彻斯特大学国际教育（对外英语教学）文学硕士,"广西大学, 英语, 已毕业，GPA85，无"
谢菲尔德大学对外英语教学文学硕士,"广东技术师范大学, 英语, 大四，GPA3.61，雅思6.0"
利兹大学专业语言和跨文化研究文学硕士,"南宁师范大学, 汉语言文学（含师范类、非师范类）, 已毕业，GPA87.46，无"
伦敦大学学院社会研究方法理学硕士,"北京大学, 社会学, 已毕业，GPA3.3，雅思6.0"
南安普顿大学艺术与文化领导力文学硕士,"浙江大学, 国画, 一年工作经验，GPA83，无"
曼彻斯特大学法律学法学硕士,"青岛大学, 法学, 大四，GPA87.79，无"
曼彻斯特大学教育领导力文学硕士,"首都师范大学, 小学教育, 大四，GPA87.8，无"
曼彻斯特大学国际政治经济文学硕士,"澳门城市大学, 国际款待与旅游业管理, 大四，GPA87，无"
纽卡斯尔大学媒体与公共关系文学硕士,"宁波财经学院, 表演, 大四，GPA82.38，暂无"
曼彻斯特大学国际金融法学硕士,"华东政法大学, 法学(民商法), 大四，GPA3.81，雅思7.5"
利兹大学企业传播、营销与公共关系文学硕士,"南京师范大学, 网络与新媒体, 已毕业，GPA83，无"
布里斯托大学社会学理学硕士,"华东政法大学, 行政管理, 大四，GPA86.19，无"
杜伦大学法学硕士,"华东政法大学, 劳动与社会保障, 已毕业，GPA84.83，无"
卡迪夫大学数字媒体与社会文学硕士,"The University of Sunderland, 国际旅游及酒店管理, 三年工作经验，GPA54，无"
