school,applicant
香港城市大学专业会计与企业管治理学硕士,"西南财经大学, 金融学, 大四，GPA86.1，雅思6.5"
香港科技大学金融数学理学硕士,"华东理工大学, 数学与应用数学, 大四，GPA89.17，雅思7（6）"
香港科技大学全球运营理学硕士,"中国人民大学, 人力资源管理, 大四，GPA86.64，雅思7，GRE320"
香港科技大学全球运营理学硕士,"university of waterloo, 会计, 大四，GPA77.87，无，GMAT:770"
香港科技大学全球运营理学硕士,"香港中文大学（深圳）, 应用经济学, 大四，GPA3.37，无"
香港大学环球管理学硕士,"深圳大学, 市场营销, 大四，GPA87.3，雅思7，GMAT650"
香港大学环球管理学硕士,"厦门大学, 会计学, 大四，GPA84，雅思:7，GRE:325"
香港大学环球管理学硕士,"深圳大学, 会计学, 大四，GPA88.5，雅思:7.5(L:8.5/R:8.5/W:6.5/S:6.5)，GRE:325"
香港中文大学商业分析理学硕士,"上海财经大学, 金融学, 大四，GPA82.2，托福104，GMAT690"
香港中文大学商业分析理学硕士,"香港中文大学（深圳）, 应用经济学, 大四，GPA3.49，雅思 7.0，GMAT710"
香港大学经济学硕士,"中山大学, 大四，GPA3.4，雅思6.5（6）"
香港大学经济学硕士,"上海交通大学, 经济学, 已毕业，GPA86，雅思7"
香港大学经济学硕士,"对外经济贸易大学, 金融, 大四，GPA88.5，雅思7.5"
香港中文大学金融工程理学硕士（CUHKSZ）,"南京大学, 统计学, 已毕业，GPA4.19，雅思7.0"
香港理工大学会计学理学硕士,"湖南大学, 会计学, 大四，GPA3.37，雅思：7.0"
香港中文大学金融科技理学硕士,"四川大学, 金融工程, 已毕业，GPA85.57，雅思7"
香港中文大学管理学理学硕士,"对外经济贸易大学, 财务管理, 一年工作经验，GPA84，雅思6.5，GRE329"
香港中文大学商业分析理学硕士,"上海交通大学, 金融学, 大四，GPA87，托福106，GMAT740"
香港理工大学会计学理学硕士,"内蒙古大学, 财务管理, 大四，GPA83，雅思:6.5(L:6.5/R:7.0/W:6.0/S:6.0)"
香港中文大学商业分析理学硕士,"香港中文大学（深圳）, 应用经济学, 大四，GPA3.4，港本豁免"
香港中文大学管理学理学硕士,"对外经济贸易大学, 金融学, 大四，GPA3.04，雅思6.5，GRE335"
香港大学金融学硕士,"上海交通大学, 经济学, 已毕业，GPA86，雅思7"
香港城市大学金融数学与统计理学硕士,"华东理工大学, 数学与应用数学, 大四，GPA89.17，雅思7（6）"
香港城市大学金融数学与统计理学硕士,"布里斯托大学, 数学, 大四，GPA63.5，无"
香港城市大学金融数学与统计理学硕士,"中山大学, 数学与应用数学, 已毕业，GPA3.0，CET6 471"
香港中文大学商业分析理学硕士,"西南财经大学, 金融学（金融与人工智能实验班）, 大四，GPA86，雅思:7.5(L:8/R:8.5/W:7/S:5.5)，GMAT:680"
香港浸会大学资讯科技管理理学硕士,"湖北经济学院, 信息管理与信息系统, 大四，GPA87"
香港中文大学经济学理学硕士,"中国人民大学, 财务管理, 大四，GPA3.73，雅思7.5"
香港中文大学经济学理学硕士,"中国人民大学, 财务管理, 已毕业，GPA84.04，雅思6.5"
香港理工大学商业管理理学硕士,"中国矿业大学（徐州）, 国际经济与贸易, 已毕业，GPA85.45，雅思:7.0(L:7.5/R:7.0/W:6.5/S:6.0)"
香港理工大学商业管理理学硕士,"上海财经大学, 金融学, 已毕业，GPA2.87，雅思7.5，GMAT740"
香港城市大学商务资讯系统理学硕士（管理信息系统）,"西北工业大学, 信息安全, 三年以上工作经验，GPA81.46，托福85"
香港中文大学金融学理学硕士,"北京科技大学, 金融工程, 已毕业，GPA3.85，雅思7，GMAT710"
香港理工大学专业会计硕士,"中国矿业大学（徐州）, 国际经济与贸易, 三年工作经验，GPA78.3，雅思6"
香港理工大学专业会计硕士,"暨南大学, 财务管理, 已毕业，GPA85.6，雅思6.5"
香港科技大学金融数学理学硕士,"南京大学, 统计学, 已毕业，GPA4.19，雅思7.0"
香港城市大学营运与供应链管理理学硕士,"中山大学, 材料物理, 两年工作经验，GPA3.5，雅思7.0"
香港城市大学环球企业管理文学硕士,"西南财经大学, 金融学(证券与期货方向), 三年以上工作经验，GPA81.71，雅思7.0"
香港中文大学会计学硕士,"厦门大学, 会计学, 大四，GPA3.58，雅思:7.5(L:7/R:9/W:6.5/S:6.5)，GMAT:660"
香港科技大学经济学理学硕士,"中国人民大学, 国际经济与贸易, 大四，GPA3.43，托福 105"
香港岭南大学国际与发展经济学理学硕士,"哈尔滨理工大学, 日语, 大四，GPA85，雅思6"
香港大学会计学硕士,"中南财经政法大学, 会计学, 大四，GPA88.23，托福99"
香港科技大学经济学理学硕士,"上海交通大学, 金融学, 已毕业，GPA83，托福105，GRE323"
香港科技大学经济学理学硕士,"上海交通大学, 经济学, 已毕业，GPA86，雅思7"
香港恒生大学创业管理理学硕士 ,"武汉商学院, 建筑环境与能源应用工程, 大四，GPA2.6，CET 455"
