school,applicant
香港科技大学工程企业管理理学硕士,"中山大学, 材料物理, 两年工作经验，GPA3.5，雅思7.0"
香港大学工程学（机械工程）理学硕士,"上海交通大学, 船舶与海洋工程, 已毕业，GPA2.97，雅思6.5"
香港城市大学工程管理学理学硕士,"福州大学, 工程管理, 大四，GPA83.75，托福:101(L:29/R:30/W:21/S:21)"
香港大学工程学（机械工程）理学硕士,"西安交通大学, 工业设计, 大四，GPA3.81，雅思8，GRE333"
香港大学工程学（机械工程）理学硕士,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要"
香港大学工程学（机械工程）理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.42，雅思6.5"
香港浸会大学绿色科技（能源）理学硕士,"太原科技大学, 环境工程, 大四，GPA86.35，雅思6.0"
香港大学工程学（机械工程）理学硕士,"东北大学秦皇岛分校, 车辆工程, 已毕业，GPA2.77，雅思:6.5(L:6/R:7/W:6/S:6.5)"
香港理工大学电子及资讯工程学理学硕士,"上海大学, 电子信息工程, 三年工作经验，GPA84.9，雅思6"
香港中文大学机械与自动化工程理学硕士,"武汉理工大学, 轮机工程, 大四，GPA3.67，雅思6.5（6.0）"
香港大学电子商务与互联网计算理学硕士,"西南财经大学, 电子商务（支付结算方向）, 大四，GPA82，雅思6"
香港城市大学工程管理学理学硕士,"同济大学, 交通工程, 大四，GPA80.75，雅思6"
香港大学工程学（电气与电子工程）理学硕士 - 常规方向,"中山大学, 物理学, 大四，GPA83，雅思7.5"
香港科技大学环境健康与安全理学硕士,"北京大学, 环境科学, 已毕业，GPA77，雅思6.5"
香港理工大学工程商业管理理学硕士,"扬州大学, 金融学, 大四，GPA83.93，雅思:6.5(L:6/R:6.5/W:6.5/S:7)，GRE:335"
香港大学计算机科学理学硕士（多媒体计算方向）,"西南大学, 计算机科学与技术, 已毕业，GPA3.49，雅思6.5"
香港理工大学工程商业管理理学硕士,"上海财经大学, 金融学, 已毕业，GPA2.87，雅思7.5，GMAT740"
香港理工大学工程商业管理理学硕士,"西南大学, 经济学, 大四，GPA85，雅思:6.5(L:7/R:7/W:5.5/S:6)"
香港城市大学生物医学工程理学硕士,"华南师范大学, 生物科学（师范）, 大四，GPA82.3，雅思6.5"
香港城市大学计算机科学理学硕士,"西北工业大学, 信息安全, 三年以上工作经验，GPA81.46，托福85"
香港大学计算机科学理学硕士（常规方向）,"同济大学, 软件工程, 大四，GPA89.01，雅思:6.5(L:7.0/R:7.0/W:6.5/S:6.0)"
