school,applicant
香港城市大学应用物理学理学硕士,"山东大学（威海）, 应用物理学, 大四，GPA77，雅思6.5"
香港浸会大学数据分析与人工智能理学硕士,"汕头大学, 通信工程, 大四，GPA82.4，雅思6"
香港中文大学物理学理学硕士,"南方科技大学, 物理学, 大四，GPA89.03，托福87"
香港城市大学数据科学理学硕士,"上海交通大学, 工程力学, 大四，GPA3.33，雅思7"
香港科技大学生物分子工程与健康信息学理学硕士,"四川农业大学, 生物科学, 大四，GPA86.74，雅思6.5"
香港科技大学生物技术理学硕士,"华东理工大学, 生物科学, 已毕业，GPA3.45，雅思7.5"
香港大学统计学硕士,"中南大学, 统计学, 大四，GPA83，托福93，GMAT650"
香港中文大学数学理学硕士,"中南大学, 统计学, 大四，GPA83，托福93，GMAT650"
香港中文大学基因组和生物信息学理学硕士,"中山大学, 生物技术, 大四，GPA83，雅思7"
香港城市大学应用物理学理学硕士,"华南师范大学, 物理学（师范）, 大四，GPA83，雅思:6.5(L:6/R:7.5/W:6.5/S:5.5)"
香港科技大学分析化学理学硕士,"重庆科技学院, 化学, 大四，GPA88，雅思:7(L:8.5/R:7.5/W:6.5/S:5.5)"
香港城市大学数据科学,"中国农业大学, 土木工程, 已毕业，GPA84，雅思:6.5(L:6.5/R:6.5/W:6.5/S:5.5)"
香港城市大学应用物理学理学硕士,"燕山大学, 应用物理学, 已毕业，GPA80.45，雅思6.5"
香港大学物理学理学硕士,"中山大学, 物理学, 大四，GPA83，雅思7.5"
香港城市大学数据科学,"重庆大学, 安全工程, 已毕业，GPA3.61，雅思6.5"
香港中文大学物理学理学硕士,"厦门大学, 化学, 已毕业，GPA86.15，雅思:6.5(L:7.0/R:7.5/W:5.5/S:5.5)"
香港理工大学数据科学及分析理学硕士,"华南农业大学, 信息管理与信息系统, 已毕业，GPA90.33，托福96"
香港大学物理学理学硕士,"华南师范大学, 物理学（师范）, 大四，GPA87.3，雅思:6.5(L:7.0/R:6.0/W:6.0/S:6.5)"
香港大学统计学硕士,"北京林业大学, 统计学, 大四，GPA89，雅思:7(L:7/R:8.5/W:6/S:5.5)，GRE:318"
香港理工大学数据科学及分析理学硕士,"北京工业大学北京-都柏林国际学院, 软件工程, 大四，GPA3.43，雅思7"
香港中文大学物理学理学硕士,"沈阳化工大学, 应用物理学, 已毕业，GPA89，托福100 "
香港理工大学运筹及风险分析理学硕士,"上海大学, 信息与计算科学, 大四，GPA89.8，雅思6.5"
香港科技大学数据驱动建模理学硕士,"湖南大学, 财务管理（金融工程）, 一年工作经验，GPA3.12，雅思6.5"
香港科技大学数据驱动建模理学硕士,"北京工业大学, 数学与应用数学, 大四，GPA88，雅思7"
香港科技大学数据驱动建模理学硕士,"东北师范大学, 统计学, 大四，GPA87.06，雅思7.0，GRE320"
香港大学数据科学硕士,"暨南大学, 信息与计算科学, 大四，GPA4.06，雅思7.0"
香港大学物理学理学硕士,"浙江大学, 物理学, 已毕业，GPA79.54，雅思6.5"
香港科技大学生物技术理学硕士,"华南师范大学, 生物科学（师范）, 大四，GPA81，雅思6.5"
香港城市大学化学理学硕士,"四川农业大学, 药学, 大四，GPA83.98，六级517"
香港城市大学化学理学硕士,"广东工业大学, 化学工程与工艺, 已毕业，GPA83.29，六级510"
香港科技大学生物技术理学硕士,"华南师范大学, 生物师范, 大四，GPA3.65，雅思7.5"
香港中文大学数据科学理学硕士（CUHKSZ）,"北京科技大学, 人工智能, 大四，GPA86.6，雅思6.5"
香港中文大学数据科学理学硕士（CUHKSZ）,"上海财经大学, 数据科学与大数据技术, 大四，GPA3.46，托福98"
香港中文大学数学理学硕士,"华南师范大学, 数学与应用数学（师范）, 大四，GPA83，雅思:6.5(L:6.0/R:8.0/W:6.0/S:6.0)"
香港理工大学数据科学及分析理学硕士,"大连海事大学, 信息管理与信息系统, 已毕业，GPA84.6，无语言成绩"
香港中文大学数学理学硕士,"安徽师范大学, 数学, 大四，GPA3.4，雅思6.5"
香港理工大学数据科学及分析理学硕士,"中国农业大学, 土木工程（辅修计算机）, 已毕业，GPA3.42，雅思6.5"
香港中文大学数学理学硕士,"北京林业大学, 统计, 大四，GPA89，雅思7.0，GRE318"
香港中文大学数学理学硕士,"南昌大学, 金融数学, 已毕业，GPA3.21，雅思7.0"
香港理工大学运筹及风险分析理学硕士,"中南大学, 大四，GPA83.86，托福93，GMAT650"
香港城市大学化学理学硕士,"安徽大学, 已毕业，GPA81.74，雅思7.0"
香港中文大学认证化学理学硕士,"重庆科技学院, 化学, 大四，GPA3.81，雅思7.0"
香港理工大学运筹及风险分析理学硕士,"南方科技大学, 数学与应用数学, 大四，GPA80，雅思6.5"
香港理工大学数据科学及分析理学硕士,"山东大学（威海）, 应用物理学, 大四，GPA83.14，雅思6.5"
香港中文大学物理学理学硕士,"华南师范大学, 物理, 大四，GPA3.11，雅思6.5"
香港中文大学物理学理学硕士,"华南师范大学, 物理学（师范）, 大四，GPA3.35，雅思6.5"
香港中文大学物理学理学硕士,"华南师范大学, 物理学（师范）, 大四，GPA3.75，雅思6.5"
香港理工大学运筹及风险分析理学硕士,"康涅狄格大学, 精算, 一年工作经验，GPA3.6，免语言成绩"
香港中文大学数学理学硕士,"东北师范大学, 统计学, 大四，GPA87.06，雅思7.0"
香港城市大学化学,"苏州大学, 高分子材料与工程, 已毕业，GPA85，六级525"
香港中文大学认证化学,"大连理工大学, 化学工程与工艺, 三年工作经验，GPA81.1，托福90"
香港科技大学数据驱动建模理学硕士,"上海大学, 数学与应用数学专业, 已毕业，GPA3.62，雅思6.5"
香港浸会大学运筹学及商业统计,"上海立信会计金融学院, 金融工程, 一年工作经验，GPA89.98，雅思6.5"
香港城市大学应用物理学,"南京大学, 物理, 已毕业，GPA3.5，雅思6.5"
香港理工大学数据科学及分析理学硕士,"北京邮电大学, 计算机科学与技术, 大四，GPA85，雅思6.0"
香港城市大学化学,"香港中文大学, 生物化学, 已毕业，GPA2.89，免语言成绩"
香港科技大学分析化学,"大连理工大学, 化学工程与工艺（电化学方向）, 三年工作经验，GPA81.1，托福90"
香港城市大学应用物理学,"上海交通大学, 物理学, 已毕业，GPA73.97，雅思7.0"
