school,applicant
香港大学公共卫生硕士,"遵义医科大学, 药学, 已毕业，GPA88，雅思6.5"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"贵州大学, 国贸, 大四，GPA78.82，453"
香港中文大学全球政治经济学社会科学硕士,"上海外国语大学, 英语专业, 大四，GPA88.09，雅思7.5"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"山东农业大学, 风景园林, 大四，GPA90.55，雅思6.5"
香港教育大学可持续发展教育文学硕士,"吉林农业大学, 应用化学, 三年以上工作经验，GPA76.6，雅思6.5"
香港教育大学可持续发展教育文学硕士,"南昌理工学院, 英语, 三年工作经验，GPA79，雅思6.0"
香港浸会大学传媒管理社会科学硕士,"福建师范大学, 广告学, 已毕业，GPA88.44，雅思:6.5(L:7.0/R:7.5/W:6.0/S:6.0)"
香港中文大学性别研究文学硕士,"华东政法大学, 社会学, 已毕业，GPA88.21，雅思6.5"
香港城市大学发展研究社会科学硕士,"暨南大学, 经济统计学, 大四，GPA3.95，雅思6.5（5）"
香港教育大学全球教育史文学硕士,"淮北师范大学, 历史学(师范类), 大四，GPA3.5，CET-6: 475"
香港教育大学全球教育研究文学硕士,"南昌理工学院, 英语, 三年工作经验，GPA79，雅思6.0"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"贵州大学, 大四，GPA82.36，雅思:7.5(L:8/R:8.5/W:6/S:6.5)"
香港理工大学可持续城市发展学理学硕士,"台湾中原大学, 景观学, 大四，GPA80.08，暂无，考试中"
香港教育大学全球教育研究文学硕士,"吉林农业大学, 应用化学, 三年以上工作经验，GPA76.6，雅思6.5"
香港浸会大学公共事务伦理学文学硕士,"吉林大学珠海学院, 大四，GPA3.56，雅思6.5"
香港浸会大学公共事务伦理学文学硕士,"南京审计大学, 工商管理, 三年工作经验，GPA82.5，雅思6.5"
香港浸会大学公共事务伦理学文学硕士,"广西大学, 工商管理, 大四，GPA81.21，雅思6.5"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"广西大学, 工商管理, 大四，GPA81.21，雅思6.5"
香港都会大学创意写作文学硕士,"南宁师范大学, 汉语言文学（含师范类、非师范类）, 已毕业，GPA87.46，无"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"河北工业大学, 公共事业管理, 已毕业，GPA86，六级504"
香港中文大学汉语语言学及语言获得文学硕士,"华东师范大学, 汉语言文学, 大四，GPA85.4，雅思6.5"
香港城市大学房屋及都市管理文学硕士（都市管理方向）,"首都经济贸易大学, 城市管理(区域经济管理), 大四，GPA88.91，雅思6.5"
